"#","St","Address","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","738 Crescent Road NW","A1228809","Detached","Rosedale","08/04/2022","$3,980,000.00","$3,825,000.00","4,275","Calgary","2005","44","Maria Nash","CPLAKAMA","","Jeff Nichol","CNICHOJE","","CAL Zone CC"
"1","S","1220 Belavista Crescent SW","A1239349","Detached","Bel-Aire","08/25/2022","$3,450,000.00","$3,500,000.00","2,416","Calgary","1965","38","Joel Semmens","CSEMMEJO","","Gary Cronin","CCRONIGA2","","CAL Zone CC"
"1","S","134 6 Avenue NW","A1210878","Detached","Crescent Heights","08/25/2022","$3,480,000.00","$3,240,000.00","5,018","Calgary","2018","97","Corinne Poffenroth","CPOFFECO","","Corinne Poffenroth","CPOFFECO","","CAL Zone CC"
"1","S","980 101 Street SW","A1240949","Detached","West Springs","08/11/2022","$3,499,999.00","$3,200,000.00","8,688","Calgary","2007","21","Mel Star","CSTARME","","Mark Evernden","CEVERNMA","","CAL Zone W"
"1","S","48 BAYCREST Place SW","A1211408","Detached","Bayview","08/06/2022","$2,900,000.00","$2,800,000.00","5,201","Calgary","1975","99","Albert Fialkow","CFIALKAL","","Josh Hamilton","CHAMILJO","","CAL Zone S"
"1","S","106 Pumpridge Place SW","A1209794","Detached","Pump Hill","08/22/2022","$2,998,800.00","$2,800,000.00","3,918","Calgary","2014","115","Mark Evernden","CEVERNMA","","Krista Legue","CLEGUEKR","","CAL Zone S"
"1","S","385 Wildwood Drive SW","A1241004","Detached","Wildwood","08/31/2022","$2,850,000.00","$2,725,000.00","3,133","Calgary","2008","39","Dennis Plintz","CPLINTDE","","Jeff Nichol","CNICHOJE","","CAL Zone W"
"1","S","119 Mahogany Landing SE","A1233441","Detached","Mahogany","08/03/2022","$2,800,000.00","$2,650,000.00","3,902","Calgary","2016","40","Sam Baker","CBAKERSA","","Sam Baker","CBAKERSA","","CAL Zone SE"
"1","S","1309 Colgrove Avenue NE","A1251138","Detached","Renfrew","08/26/2022","$2,585,000.00","$2,525,000.00","2,773","Calgary","2022","14","Kim Vink","CVINKKI","","Kim Vink","CVINKKI","","CAL Zone CC"
"1","S","100 Elkton Close SW","A1228336","Detached","Springbank Hill","08/29/2022","$2,598,000.00","$2,450,000.00","3,623","Calgary","2021","78","Cheryl Bottomley","CBOTTOCH","","Jordan Lotoski","CLOTOSJO","","CAL Zone W"
"1","S","27 Windsor Crescent SW","A1163994","Detached","Windsor Park","08/03/2022","$2,250,000.00","$2,433,000.00","3,348","Calgary","2011","249","Mario Micciolo","CMICCIMA","CMICCIKA","Mario Micciolo","CMICCIMA","CMICCIKA","CAL Zone CC"
"1","S","118 Crescent Road NW","A1195996","Detached","Crescent Heights","08/17/2022","$2,399,900.00","$2,175,000.00","4,525","Calgary","1996","146","Mike Stante","CSTANTMI","CSTANTSA","Wayne Watson","CWATSOWA","","CAL Zone CC"
"1","S","738 1 Avenue SW Unit#812","A1237370","Apartment","Eau Claire","08/18/2022","$2,150,000.00","$2,017,999.00","1,595","Calgary","2019","41","Jeffrey Cox","CCOXJE","CTOUCHJE","Parker Smyth","CSMYTHPA","","CAL Zone CC"
"1","S","2203 29 Avenue SW","A1245209","Detached","Richmond","08/08/2022","$1,745,000.00","$1,965,000.00","3,162","Calgary","2008","3","Tanya Eklund","CEKLUNTA","","Gary Cronin","CCRONIGA2","CCRONILI","CAL Zone CC"
"1","S","56 Tommy Prince Road SW","A1240626","Detached","Currie Barracks","08/10/2022","$1,980,000.00","$1,940,000.00","2,258","Calgary","2013","18","Mike Dreger","CDREGEMI","CHEINBDO","Ken Eddy","CEDDYKE","","CAL Zone W"
"1","S","6814 Lowell Court SW","A1209848","Detached","Lakeview","08/29/2022","$1,874,900.00","$1,812,500.00","2,414","Calgary","1967","123","Trung Bien","CBIENTR1","","Tanya Eklund","CEKLUNTA","","CAL Zone W"
"1","S","5571 Dalhart Road NW","A1243701","Detached","Dalhousie","08/17/2022","$1,680,000.00","$1,650,000.00","3,464","Calgary","2017","16","Suha Kordi","CKORDISU","","Harry Hooi","CHOOIHA","CRICHTKE","CAL Zone NW"
"1","S","7889 8A Avenue SW","A1234123","Detached","West Springs","08/28/2022","$1,559,000.00","$1,529,000.00","3,232","Calgary","2022","62","Oliver Trutina","CTRUTIOL","","Non Board Member","CNONMEMB","","CAL Zone W"
"1","S","2914 Montcalm Crescent SW","A1245741","Detached","Upper Mount Royal","08/04/2022","$1,400,000.00","$1,500,000.00","2,600","Calgary","1928","0","Amanda Zayonce","CZAYONAM","","Krista Legue","CLEGUEKR","","CAL Zone CC"
"1","S","736 Willamette Drive SE","A1250753","Detached","Willow Park","08/23/2022","$1,499,900.00","$1,475,000.00","1,802","Calgary","1971","12","Tomasz Samborski","CSAMBOTO","","Eric Palin","CPALINER","","CAL Zone S"
"1","S","501 Sunderland Avenue SW","A1228162","Detached","Scarboro","08/09/2022","$1,499,000.00","$1,450,000.00","2,361","Calgary","1990","60","Jennifer Everingham","CEVERIJE","","Matt Williams","CWILLIMA3","","CAL Zone CC"
"1","S","12308 Lake Moraine Rise SE","A1246558","Detached","Lake Bonavista","08/17/2022","$1,425,000.00","$1,425,000.00","2,951","Calgary","1973","5","Jamie Newton","CNEWTOJA","","Richard Lobsinger","CLOBSIRI","","CAL Zone S"
