"#","St","Address","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","72 Spring Valley Way SW","A2002320","Detached","Springbank Hill","12/19/2022","$2,998,000.00","$2,800,000.00","5,478","Calgary","2003","90","Rachelle Starnes","CSTARNRA","CDEXTEKY","Non Board Member","CNONMEMB","","CAL Zone W"
"1","S","7108 Bow Crescent NW","A2011200","Detached","Bowness","12/17/2022","$2,699,000.00","$2,400,000.00","5,016","Calgary","2014","38","Tyler McNabb","CMCNABKE","CMCNABLE","Tyler McNabb","CMCNABKE","CMCNABLE","CAL Zone NW"
"1","S","3024 7 Street SW","A2005704","Detached","Elbow Park","12/11/2022","$2,295,000.00","$2,210,000.00","2,985","Calgary","2011","59","Dennis Plintz","CPLINTDE","","Colin Woo","CWOOCO","","CAL Zone CC"
"1","S","1937 Briar Crescent NW","A2015069","Detached","Hounsfield Heights/Briar Hill","12/21/2022","$1,974,900.00","$1,975,000.00","1,473","Calgary","1955","12","Karen Fawcett","CFAWCEKA","","Arthur Leslie","CLESLIAR","","CAL Zone CC"
"1","S","1248 16A Street NW","A1217410","Detached","Hounsfield Heights/Briar Hill","12/17/2022","$2,088,800.00","$1,950,000.00","3,264","Calgary","2020","218","John Malick","CMALICJO","","Jennifer Everingham","CEVERIJE","","CAL Zone CC"
"1","S","2751 Cannon Road NW","A2007143","Detached","Charleswood","12/22/2022","$1,949,800.00","$1,905,000.00","3,242","Calgary","2022","62","Sean Curtis","CCURTISE","","Aly Remtulla","CREMTUAL","","CAL Zone NW"
"1","S","1203 15 Street SE","A2014505","Detached","Inglewood","12/16/2022","$1,960,000.00","$1,900,000.00","3,281","Calgary","2014","8","Curtis Atkinson","CATKINCU","","Curtis Atkinson","CATKINCU","","CAL Zone CC"
"1","S","545 Patterson Grove SW","A1250976","Detached","Patterson","12/01/2022","$1,925,000.00","$1,850,000.00","3,659","Calgary","2015","107","Seth Allred","CALLRESE","","Ahmed Marshall","CMARSHAH","","CAL Zone W"
"1","S","119 Aspen Summit Bay SW","A2006703","Detached","Aspen Woods","12/22/2022","$1,879,000.00","$1,800,000.00","3,385","Calgary","2022","66","Mike Perkovic","CPERKOMI","","Christopher Ashby","CASHBYCH","","CAL Zone W"
"1","S","715 Alexander Crescent NW","A1259140","Detached","Rosedale","12/21/2022","$1,850,000.00","$1,745,000.00","2,700","Calgary","2006","84","Krista Legue","CLEGUEKR","","Richard Palibroda","CPALIBRI","","CAL Zone CC"
