"#","St","Address","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","925 Durham Avenue SW","A1176575","Detached","Upper Mount Royal","02/04/2022","$7,000,000.00","$7,000,000.00","7,850","Calgary","1910","0","John McNeill","CMCNEIJO","","John McNeill","CMCNEIJO","","CAL Zone CC"
"1","S","3037 1 Street SW","A1182384","Detached","Roxboro","02/24/2022","$3,295,000.00","$3,250,000.00","3,646","Calgary","2017","9","Gordon W. Ross","CROSSGO1","","Sherry Heinrich","CHEINRSH","","CAL Zone CC"
"1","S","2605 Erlton Street SW","A1173585","Detached","Erlton","02/07/2022","$3,500,000.00","$3,250,000.00","3,900","Calgary","2009","18","Dennis Plintz","CPLINTDE","","Ted Crawford","CCRAWFTE","","CAL Zone CC"
"1","S","936 Lansdowne Avenue SW","A1177635","Detached","Elbow Park","02/16/2022","$2,849,000.00","$3,010,000.00","4,779","Calgary","2006","8","Donna Rooney","CROONEDO","CCRONIGA2","Marsha Graham","CGRAHAMA","","CAL Zone CC"
"1","S","43 Bel-Aire Place SW","A1171336","Detached","Bel-Aire","02/10/2022","$2,875,000.00","$2,875,000.00","3,743","Calgary","1983","29","Vivienne Huisman","CFEICKVI","","Vivienne Huisman","CFEICKVI","","CAL Zone CC"
"1","S","4211 15 Street SW","A1182897","Detached","Altadore","02/28/2022","$2,495,000.00","$2,450,000.00","3,484","Calgary","2022","0","Brad McCallum","CMCCALBR","","Daniel Weiner","CWEINEDA","","CAL Zone CC"
"1","S","520 Brunswick Avenue SW","A1178719","Detached","Elboya","02/18/2022","$2,398,000.00","$2,398,000.00","3,836","Calgary","2017","8","John McNeill","CMCNEIJO","","Anne Clarke-Davidson","CCLARKAN2","","CAL Zone CC"
"1","S","3041 1 Street SW","A1177106","Detached","Roxboro","02/18/2022","$2,450,000.00","$2,375,000.00","3,251","Calgary","2018","14","Donna Rooney","CROONEDO","CCRONIGA2","Kodette LaBarbera","CLABARKO","CRICHABA","CAL Zone CC"
"1","S","13616 30 Street NW","A1160059","Detached","Sage Hill","02/14/2022","$2,700,000.00","$2,312,750.00","5,806","Calgary","1900","95","Vivienne Huisman","CFEICKVI","","Jaskirat Brar","CBRARJA4","","CAL Zone N"
"1","S","2633 7 Avenue NW","A1181181","Detached","West Hillhurst","02/18/2022","$2,230,000.00","$2,230,000.00","2,982","Calgary","2021","0","Trung Bien","CBIENTR1","CTUNNEJA","Trung Bien","CBIENTR1","","CAL Zone CC"
"1","S","4031 Comanche Road NW","A1175827","Detached","Collingwood","02/08/2022","$2,280,000.00","$2,200,000.00","4,383","Calgary","2018","12","KaraLee Foat","CFOATKA","","Alexandra Sell","CSELLAL","","CAL Zone NW"
"1","S","2854 77 Street SW","A1150826","Detached","Springbank Hill","02/06/2022","$2,245,000.00","$2,105,000.00","2,972","Calgary","2017","129","Crystal Tost","CMYERSCR","CFRASEKE","Kelly Fraser","CFRASEKE","CMYERSCR","CAL Zone W"
"1","S","151 Pumpmeadow Place SW","A1137276","Detached","Pump Hill","02/16/2022","$2,200,000.00","$2,074,000.00","3,380","Calgary","1990","189","Dennis Plintz","CPLINTDE","CMARTIAM","Sam Olschewski","COLSCHSA","","CAL Zone S"
"1","S","1925 3 Avenue NW","A1179731","Detached","West Hillhurst","02/18/2022","$1,999,900.00","$2,025,000.00","2,921","Calgary","2018","9","Joel Semmens","CSEMMEJO","","Joel Semmens","CSEMMEJO","","CAL Zone CC"
"1","S","3052 81 Street SW","A1180484","Detached","Springbank Hill","02/15/2022","$1,725,000.00","$2,001,000.00","2,523","Calgary","2006","5","Ross Pavl","CPAVLYRO","","Dennis Plintz","CPLINTDE","","CAL Zone W"
"1","S","421 Elveden Court","A1176021","Full Duplex","Springbank Hill","02/02/2022","$1,925,724.15","$1,925,724.15","2,135","Calgary","2021","0","Brad McCallum","CMCCALBR","","Member of Public","CAPUBLIC","","CAL Zone W"
"1","S","731 33 Street NW","A1175459","Detached","Parkdale","02/11/2022","$1,999,000.00","$1,917,500.00","3,069","Calgary","2010","10","Robin Clegg","CCLEGGRO","CSEMMEJO","Joel Semmens","CSEMMEJO","","CAL Zone CC"
"1","S","2906 Lathom Crescent SW","A1186747","Detached","Lakeview","02/25/2022","$1,900,000.00","$1,900,000.00","3,134","Calgary","2022","0","Daniel Weiner","CWEINEDA","","Daniel Weiner","CWEINEDA","","CAL Zone W"
"1","S","421 Scarboro Avenue SW","A1181372","Detached","Scarboro","02/23/2022","$1,795,000.00","$1,895,000.00","2,730","Calgary","2003","8","Dave Greenwood","CGREENDA","","Karen Keveryga","CKEVERKA","","CAL Zone CC"
"1","S","163 Posthill Drive SW","A1173616","Detached","Springbank Hill","02/03/2022","$1,895,000.00","$1,885,000.00","5,721","Calgary","2009","14","Alexandra Sell","CSELLAL","","Peter Leung","CLEUNGPE4","","CAL Zone W"
"1","S","26 Aspen Ridge Close SW","A1177235","Detached","Aspen Woods","02/11/2022","$1,999,900.00","$1,880,000.00","5,170","Calgary","2005","9","Kelly McKelvie","CMCKELKE","","Charlie Yang","CYANGCH","","CAL Zone W"
"1","S","1837 32 Avenue SW","A1165969","Detached","South Calgary","02/15/2022","$1,749,000.00","$1,790,188.20","2,742","Calgary","2022","62","Michael Jubb","CJUBBWI","","Patti Reid","CREIDPA","","CAL Zone CC"
"1","S","87 Lynx Meadows Drive NW","A1161266","Detached","NONE","02/17/2022","$1,850,000.00","$1,775,000.00","4,455","Calgary","2005","97","Dana Wilkie","CWILKIDA1","","Dana Wilkie","CWILKIDA1","",""
"1","S","417 Elveden Court","A1175992","Full Duplex","Springbank Hill","02/02/2022","$1,754,428.20","$1,754,542.20","1,844","Calgary","2021","0","Brad McCallum","CMCCALBR","","Non Board Member","CNONMEMB","","CAL Zone W"
"1","S","2016 32 Avenue SW","A1181930","Detached","South Calgary","02/15/2022","$1,775,000.00","$1,725,000.00","3,128","Calgary","2012","1","Gordon W. Ross","CROSSGO1","","Jack Clarke","CCLARKJO2","CYAWNESH","CAL Zone CC"
"1","S","1835 32 Avenue SW","A1167288","Detached","South Calgary","02/21/2022","$1,699,000.00","$1,685,000.00","2,712","Calgary","2021","68","Michael Jubb","CJUBBWI","","Gizella Davis","CDAVISGI","","CAL Zone CC"
"1","S","17 Aspenshire Close SW","A1183235","Detached","Aspen Woods","02/17/2022","$1,700,000.00","$1,680,000.00","2,922","Calgary","2011","0","Dusko Sremac","CSREMADU","CHILDEER","David Pellettier","CPELLEDA","","CAL Zone W"
"1","S","6503 Longmoor Way SW","A1183195","Detached","Lakeview","02/19/2022","$1,675,000.00","$1,675,000.00","3,264","Calgary","2017","1","Kim Vink","CVINKKI","","Viki Fairbairn","CFAIRBVE","","CAL Zone W"
"1","S","1639 Altadore Avenue SW","A1168271","Detached","Altadore","02/09/2022","$1,695,000.00","$1,675,000.00","2,613","Calgary","2013","26","Christopher Audette","CAUDETCH","","Anne Clarke-Davidson","CCLARKAN2","","CAL Zone CC"
"1","S","17 Wentworth Terrace SW","A1179141","Detached","West Springs","02/22/2022","$1,695,000.00","$1,670,000.00","3,350","Calgary","2007","14","Alex Miller","CMILLERAL","","Kelsey Jones","CJONESKE8","","CAL Zone W"
"1","S","904 34 Street NW","A1175877","Detached","Parkdale","02/11/2022","$1,650,000.00","$1,650,000.00","2,637","Calgary","2004","14","Joel Semmens","CSEMMEJO","","Margaret Hamilton","CHAMILMA1","","CAL Zone CC"
"1","S","8 Aspen Meadows Manor SW","A1181758","Detached","Aspen Woods","02/18/2022","$1,600,000.00","$1,600,000.00","4,005","Calgary","2007","0","Mario Micciolo","CMICCIMA","CMICCIKA","Simon Choi","CCHOISO","","CAL Zone W"
"1","S","21 SPRING WILLOW Court SW","A1176670","Detached","Springbank Hill","02/18/2022","$1,595,000.00","$1,595,000.00","3,369","Calgary","2006","11","John Hripko","CHRIPKJO","","Denise Newman","CNEWMADE","","CAL Zone W"
"1","S","74 Aspen Ridge Way SW","A1172813","Detached","Aspen Woods","02/16/2022","$1,595,000.00","$1,590,000.00","3,546","Calgary","2003","28","Jason Bamlett","CBAMLEJA","","Cynthia Xu","CXUXI","","CAL Zone W"
"1","S","1240 18A Street NW","A1177984","Detached","Hounsfield Heights/Briar Hill","02/23/2022","$1,650,000.00","$1,582,500.00","3,767","Calgary","2005","18","Lucas Ramage","CRAMAGLU","","Dusko Sremac","CSREMADU","","CAL Zone CC"
"1","S","311 Lynx Ridge Road NW","A1168280","Detached","NONE","02/11/2022","$1,575,000.00","$1,575,000.00","4,017","Calgary","2006","51","Dennis Shandruk","CSHANDDE","","Ellyn Mendham","CMENDHEL","",""
"1","S","62 Wentworth Terrace SW","A1172913","Detached","West Springs","02/01/2022","$1,625,000.00","$1,570,000.00","2,459","Calgary","2007","12","Phil Lepage","CLEPAGPH","","Alicja Rudolf","CRUDOLAL","","CAL Zone W"
"1","S","409 Elveden Court","A1172902","Full Duplex","Springbank Hill","02/02/2022","$1,531,933.20","$1,531,933.20","1,844","Calgary","2021","0","Brad McCallum","CMCCALBR","","Non Board Member","CNONMEMB","","CAL Zone W"
"1","S","3016 7 Street SW","A1183402","Detached","Elbow Park","02/26/2022","$1,490,000.00","$1,525,000.00","3,528","Calgary","1978","9","Tanya Eklund","CEKLUNTA","","Jordan Lotoski","CLOTOSJO","","CAL Zone CC"
"1","S","1340 Frontenac Avenue SW","A1174143","Detached","Upper Mount Royal","02/04/2022","$1,525,000.00","$1,525,000.00","2,442","Calgary","1927","10","Jonathan Pendlebury","CPENDLJO","","Jordan Lotoski","CLOTOSJO","","CAL Zone CC"
"1","S","2008 45 Avenue SW","A1167248","Detached","Altadore","02/03/2022","$1,550,000.00","$1,513,500.00","2,545","Calgary","2021","50","Brad Van De Walle","CVANDEBR1","CVOTHSH","Jonas Magnien","CMAGNIJO","CPLINTDE","CAL Zone CC"
"1","S","1103 Belavista Crescent SW","A1159393","Detached","Bel-Aire","02/04/2022","$1,590,000.00","$1,490,000.00","2,701","Calgary","1960","92","Cliff Stevenson","CSTEVECL","","A.J. Van Der Linden","CVANDEAL3","","CAL Zone CC"
"1","S","6 Ascot Crescent SW","A1177262","Detached","Aspen Woods","02/07/2022","$1,285,000.00","$1,488,000.00","3,029","Calgary","2013","5","David Pellettier","CPELLEDA","","Charlie Yang","CYANGCH","","CAL Zone W"
