"#","St","Address","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","318 26 Avenue SW Unit#1701","A1160347","Apartment","Mission","03/15/2022","$3,500,000.00","$3,400,000.00","3,137","Calgary","1981","85","Cynthia Mackenzie","CMACKECY","","Cynthia Mackenzie","CMACKECY","","CAL Zone CC"
"1","S","664 Lake Moraine Way SE","A1187054","Detached","Lake Bonavista","03/11/2022","$2,798,000.00","$2,800,000.00","3,529","Calgary","1973","0","Donna Rooney","CROONEDO","CVALENSU","Gary Cronin","CCRONIGA2","","CAL Zone S"
"1","S","1201 Prospect Avenue SW","A1177472","Detached","Upper Mount Royal","03/17/2022","$2,769,000.00","$2,769,000.00","3,111","Calgary","1928","42","John Hripko","CHRIPKJO","","Michael Ferianec","CFERIAMI","","CAL Zone CC"
"1","S","1018 Frontenac Avenue SW","A1186424","Detached","Upper Mount Royal","03/17/2022","$2,699,000.00","$2,750,000.00","2,969","Calgary","1940","13","John McNeill","CMCNEIJO","","Robert Murray","CMURRARO","","CAL Zone CC"
"1","S","11370 Valley Ridge Park NW","A1173716","Detached","Valley Ridge","03/07/2022","$2,950,000.00","$2,700,000.00","4,260","Calgary","2008","45","Dennis Plintz","CPLINTDE","","Gordon Pethick","CPETHIGO","","CAL Zone W"
"1","S","2207 Amherst Street SW","A1177047","Detached","Upper Mount Royal","03/17/2022","$2,850,000.00","$2,650,000.00","2,856","Calgary","1950","41","Corinne Poffenroth","CPOFFECO","CCALVINA","John McNeill","CMCNEIJO","","CAL Zone CC"
"1","S","32 Elveden Bay SW","A1156631","Detached","Springbank Hill","03/04/2022","$2,749,900.00","$2,600,000.00","4,026","Calgary","2018","128","Ross Pavl","CPAVLYRO","","Ross Pavl","CPAVLYRO","","CAL Zone W"
"1","S","129 Aspen Ridge Place SW","A1192345","Detached","Aspen Woods","03/15/2022","$2,500,000.00","$2,501,800.00","5,578","Calgary","2008","4","Sam Corea","CCOREASA","","James Zhan","CZHANJA","","CAL Zone W"
"1","S","3018 3 Street","A1151715","Detached","Roxboro","03/15/2022","$2,500,000.00","$2,400,000.00","3,698","Calgary","2016","161","Lara Mitchell","CMITCHLA","","Roy Almog","CALMOGRO","","CAL Zone CC"
"1","S","3314 Lassiter Court SW","A1184143","Detached","Lakeview","03/08/2022","$2,125,000.00","$2,186,000.00","2,613","Calgary","1967","15","Vivienne Huisman","CFEICKVI","","Ben Knopp","CKNOPPBE","","CAL Zone W"
"1","S","2915 Carleton Street SW","A1189880","Detached","Upper Mount Royal","03/23/2022","$2,150,000.00","$2,125,000.00","3,849","Calgary","1930","2","Vivienne Huisman","CFEICKVI","","Ayla McKean","CMCKEAAY","","CAL Zone CC"
"1","S","1208 8 Avenue SE","A1171539","Detached","Inglewood","03/26/2022","$2,250,000.00","$2,087,500.00","3,050","Calgary","2019","30","Barbara Siu Jipp","CJIPPBA","CBIENTR1","Marilou Evangelista","CIGNACMA","CHAVREJU","CAL Zone CC"
"1","S","108 9 Avenue SW Unit#1901","A1173127","Apartment","Downtown Commercial Core","03/04/2022","$2,100,000.00","$2,050,000.00","2,392","Calgary","2010","24","Vivienne Huisman","CFEICKVI","","Adnan Ali Assaf","CASSAFAD1","","CAL Zone CC"
"1","S","920 Sifton Boulevard SW","A1163225","Detached","Elbow Park","03/24/2022","$2,150,000.00","$2,025,000.00","4,378","Calgary","1910","122","Vivienne Huisman","CFEICKVI","","Gary Cronin","CCRONIGA2","","CAL Zone CC"
"1","S","1111 Premier Way SW","A1186201","Detached","Upper Mount Royal","03/09/2022","$2,000,000.00","$2,000,000.00","3,192","Calgary","2014","13","Jordan Lotoski","CLOTOSJO","","Mike Star","CSTARMI","","CAL Zone CC"
