"#","St","Address","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","850 Rideau Road SW","A1237623","Detached","Rideau Park","11/04/2022","$3,750,000.00","$3,492,000.00","4,104","Calgary","2011","106","Dennis Plintz","CPLINTDE","","Justin Havre","CHAVREJU","CFREDEMI","CAL Zone CC"
"1","S","3030 17 Street SW Unit#201","A2008323","Apartment","South Calgary","11/25/2022","$3,399,000.00","$3,250,000.00","3,434","Calgary","2019","32","Tanya Eklund","CEKLUNTA","","Rachelle Starnes","CSTARNRA","","CAL Zone CC"
"1","S","3025 3 Street SW","A2002077","Detached","Roxboro","11/03/2022","$3,350,000.00","$3,250,000.00","3,792","Calgary","2005","48","Spencer Stupka","CSTUPKSP","CMAYEM","Ben Knopp","CKNOPPBE","","CAL Zone CC"
"1","S","7124 Bow Crescent NW","A2009864","Detached","Bowness","11/19/2022","$2,399,900.00","$2,325,000.00","4,033","Calgary","2020","7","Brenda Parai","CPARAIBR","","David Greenwood","CGREENDA","","CAL Zone NW"
"1","S","1660 St Andrews Place NW","A2005069","Detached","St Andrews Heights","11/01/2022","$2,499,900.00","$2,200,000.00","3,072","Calgary","2007","21","Joel Semmens","CSEMMEJO","","Michael Wood","CWOODMI","","CAL Zone CC"
"1","S","315 Elbow Park Lane SW","A2005421","Detached","Elbow Park","11/03/2022","$1,999,900.00","$2,060,000.00","2,909","Calgary","1975","14","Michael Wood","CWOODMI","","Matt Williams","CWILLIMA3","","CAL Zone CC"
"1","S","323 11 Street NW","A2005737","Detached","Hillhurst","11/07/2022","$1,999,900.00","$1,950,000.00","3,524","Calgary","2007","24","Joel Semmens","CSEMMEJO","","Ginnie Beston","CBESTOVI","","CAL Zone CC"
"1","S","2129 Bowness Road NW","A2009467","Detached","West Hillhurst","11/19/2022","$1,899,900.00","$1,900,000.00","2,887","Calgary","2020","18","Jill Conroy","CCONROJI","CANDREGI","Shelley Lavalliere","CLAVALSH","","CAL Zone CC"
"1","S","351 Chapala Point SE","A2006097","Detached","Chaparral","11/10/2022","$1,995,000.00","$1,900,000.00","3,284","Calgary","2008","28","Donna Rooney","CROONEDO","CVALENSU","Jen Hawkins","CHAWKIJE1","","CAL Zone S"
"1","S","1322 Crescent Road NW","A1256369","Detached","Rosedale","11/18/2022","$1,999,000.00","$1,900,000.00","3,455","Calgary","2012","73","Curtis Atkinson","CATKINCU","","Justin Vroon","CVROONJU","","CAL Zone CC"
