"#","St","Address","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","3924 Crestview Road SW","A1242697","Detached","Elbow Park","10/21/2022","$4,299,000.00","$3,900,000.00","4,860","Calgary","2020","86","Robin Clegg","CCLEGGRO","CSEMMEJO","Kodette LaBarbera","CLABARKO","CRICHABA","CAL Zone CC"
"1","S","321 Roxboro Road SW","A2008501","Detached","Roxboro","10/28/2022","$2,699,900.00","$2,650,000.00","3,637","Calgary","2005","3","Tanya Eklund","CEKLUNTA","","Tanya Eklund","CEKLUNTA","","CAL Zone CC"
"1","S","2202 13 Street SW","A1181925","Detached","Upper Mount Royal","10/20/2022","$2,999,900.00","$2,650,000.00","4,897","Calgary","2005","248","Joel Semmens","CSEMMEJO","","Krista Legue","CLEGUEKR","","CAL Zone CC"
"1","S","738 1 Avenue SW Unit#106","A1189545","Row/Townhouse","Eau Claire","10/22/2022","$2,592,000.00","$2,591,925.00","3,105","Calgary","2019","122","Rowena Chan","CCHANRO2","CFAWCEEM1","Michelle Salt","CSALTMI","","CAL Zone CC"
"1","S","3414 Liddel Court SW","A2006003","Detached","Lakeview","10/18/2022","$2,450,000.00","$2,580,000.00","2,291","Calgary","1968","2","Vivienne Huisman","CFEICKVI","","Catherine Chow","CCHOWCA","","CAL Zone W"
"1","S","234 40 Avenue SW","A2000693","Detached","Elbow Park","10/20/2022","$2,599,000.00","$2,550,000.00","4,421","Calgary","2019","48","Donna Rooney","CROONEDO","CCRONIGA2","Gary Cronin","CCRONIGA2","CCRONILI","CAL Zone CC"
"1","S","2231 Mahogany Boulevard SE Unit#501","A1217199","Apartment","Mahogany","10/14/2022","$2,226,400.00","$2,226,400.00","2,017","Calgary","2018","150","Michael Laprairie","CLAPRAMI","CSTEWAAL1","Non Board Member","CNONMEMB","","CAL Zone SE"
"1","S","4606 5 Street SW","A2002130","Detached","Elboya","10/16/2022","$2,350,000.00","$2,150,000.00","3,228","Calgary","2012","28","Lori Russell","CRUSSELO","","Cheryl Bottomley","CBOTTOCH","","CAL Zone CC"
"1","S","31 Lenton Place SW","A1234503","Detached","North Glenmore Park","10/13/2022","$2,195,000.00","$2,095,000.00","2,186","Calgary","2013","105","Phil Lepage","CLEPAGPH","","Jamie Kanashiro","CKANASJA","","CAL Zone W"
"1","S","204 38 Avenue SW","A1241081","Detached","Elbow Park","10/12/2022","$2,299,000.00","$2,070,000.00","3,051","Calgary","2000","83","Donna Rooney","CROONEDO","CCRONIGA2","Gary Cronin","CCRONIGA2","CCRONILI","CAL Zone CC"
"1","S","304 16A Street NW","A2003101","Detached","Hillhurst","10/07/2022","$1,980,000.00","$1,940,000.00","3,172","Calgary","2014","6","Susan Harrigan","CHARRIMA","","Vince Oliverio","COLIVEVI","","CAL Zone CC"
"1","S","2030 Salisbury Street SE","A2003952","Detached","Ramsay","10/08/2022","$2,095,000.00","$1,920,000.00","2,349","Calgary","2018","8","Lori Russell","CRUSSELO","","Susan Harrigan","CHARRIMA","","CAL Zone CC"
"1","S","3404 6 Street SW","A2006797","Detached","Elbow Park","10/28/2022","$1,725,000.00","$1,786,000.00","2,784","Calgary","1929","11","Spencer Stupka","CSTUPKSP","CMAYEM","Jeannie Brennan-Minchin","CBRENNRE","","CAL Zone CC"
"1","S","4404 Britannia Drive SW","A2007009","Detached","Britannia","10/21/2022","$1,695,000.00","$1,785,000.00","3,270","Calgary","1955","2","Sam Corea","CCOREASA","","Jeff Nichol","CNICHOJE","","CAL Zone CC"
"1","S","18 Spring Glen View SW","A1258368","Detached","Springbank Hill","10/17/2022","$1,750,000.00","$1,750,000.00","4,438","Calgary","2018","29","Ross Pavl","CPAVLYRO","CDOBRESH","Shauna Dobres","CDOBRESH","","CAL Zone W"
"1","S","3035 100 Street SE","A1258231","Detached","NONE","10/20/2022","$1,999,900.00","$1,750,000.00","2,612","Calgary","1989","31","Sunny Banipal","CBANIPSU","CJAGDEGA","Dalwinder Gill","CGILLDA","CGILLAM3",""
"1","S","680 Princeton Way SW Unit#202","A2000328","Apartment","Eau Claire","10/07/2022","$1,875,000.00","$1,725,000.00","2,589","Calgary","2002","37","Cindy Skrukwa","CSKRUKCI","","Ian Pangilinan","CPANGIRI","CHAVREJU","CAL Zone CC"
"1","S","1004 Crescent Boulevard SW","A1244939","Detached","Britannia","10/21/2022","$1,795,000.00","$1,700,000.00","4,544","Calgary","1955","73","Wendy Wacko","CWACKOWE","","Gordon W. Ross","CROSSGO1","","CAL Zone CC"
"1","S","14 Spring Willow Mews SW","A1232471","Detached","Springbank Hill","10/20/2022","$1,799,900.00","$1,700,000.00","2,863","Calgary","2011","118","Jenna Leigh Drummond","CDRUMMJE","CHRIPKJO","Alfredo Wong","CWONGAL","","CAL Zone W"
"1","S","930 16 Avenue SW Unit#3201","A1215269","Apartment","Beltline","10/24/2022","$1,760,000.00","$1,700,000.00","1,834","Calgary","2019","101","John McNeill","CMCNEIJO","","Cynthia Mackenzie","CMACKECY","","CAL Zone CC"
"1","S","37 ASPEN RIDGE Terrace SW","A1236018","Detached","Aspen Woods","10/18/2022","$1,795,000.00","$1,685,000.00","3,435","Calgary","2012","97","Ross Pavl","CPAVLYRO","","Janene Di Piano","CDIPIAJA","","CAL Zone W"
"1","S","4411 Coronation Drive SW","A2005363","Detached","Britannia","10/10/2022","$1,650,000.00","$1,665,000.00","2,600","Calgary","1956","2","Donna Rooney","CROONEDO","CCRONIGA2","Garrett Labarre","CLABARGA","","CAL Zone CC"
"1","S","151 Aspen Summit Heath SW","A1231345","Detached","Aspen Woods","10/03/2022","$1,725,000.00","$1,653,500.00","3,574","Calgary","2013","105","Mark Lukwinski","CLUKWIMA","","Stephanie Begin","CBEGINST","","CAL Zone W"
"1","S","128 Spring Valley Way SW","A1239545","Detached","Springbank Hill","10/07/2022","$1,780,000.00","$1,625,000.00","3,787","Calgary","2006","85","Gloria Sun","CSUNWE","","Gloria Sun","CSUNWE","","CAL Zone W"
"1","S","62 Wexford Crescent SW","A1246357","Detached","West Springs","10/26/2022","$1,649,900.00","$1,590,000.00","3,450","Calgary","2013","79","Danny Raposo","CRAPOSDA","","Danny Raposo","CRAPOSDA","","CAL Zone W"
"1","S","835 Lake Placid Drive SE","A2002246","Detached","Lake Bonavista","10/09/2022","$1,550,000.00","$1,550,000.00","2,512","Calgary","1975","9","Darcy Brown","CBROWNDA7","","Darcy Brown","CBROWNDA7","","CAL Zone S"
"1","S","9041 9 Avenue SW","A1243548","Detached","West Springs","10/18/2022","$1,625,000.00","$1,550,000.00","2,954","Calgary","1999","60","Ron Isaac","CISAACRO","","Piew Soe Saw","CSAWPI","","CAL Zone W"
"1","S","60 Aspen Cliff Close SW","A1236084","Detached","Aspen Woods","10/31/2022","$1,690,000.00","$1,550,000.00","3,641","Calgary","2008","119","Scottie Grinton","CGRINTSC","","Raj Bhopla","CBHOPLRA","","CAL Zone W"
"1","S","158 Mt Douglas Close SE","A2002701","Detached","McKenzie Lake","10/12/2022","$1,475,000.00","$1,540,000.00","2,018","Calgary","2001","12","Rachelle Starnes","CSTARNRA","CTAGGANI","Sam Corea","CCOREASA","","CAL Zone SE"
"1","S","114 Panatella Crescent NW","A1203477","Detached","Panorama Hills","10/01/2022","$1,699,000.00","$1,525,000.00","4,004","Calgary","2008","177","Murray Harris","CHARRIMU","","Raj Sewak","CSEWAKRA","","CAL Zone N"
"1","S","43 Mystic Ridge Way SW","A2006356","Detached","Springbank Hill","10/19/2022","$1,490,000.00","$1,520,000.00","3,275","Calgary","2014","6","Vaughan Mealey","CMEALEVA","","Venee Ye","CYEMA","CMAOSO","CAL Zone W"
