"#","St","Address","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","707 Hillcrest Avenue SW","A1255138","Detached","Upper Mount Royal","09/12/2022","$3,650,000.00","$3,650,000.00","4,076","Calgary","1996","10","Mary-Lou McCormick","CMCCORMA1","","Brian Mahoney","CMAHONBR","","CAL Zone CC"
"1","S","19 Garden Lane SW","A1242542","Detached","Elbow Park","09/16/2022","$3,750,000.00","$3,630,000.00","5,181","Calgary","1999","44","Donna Rooney","CROONEDO","CCRONIGA2","Spencer Stupka","CSTUPKSP","","CAL Zone CC"
"1","S","868 Hillcrest Avenue SW","A1250892","Detached","Upper Mount Royal","09/10/2022","$2,999,999.00","$3,000,000.00","3,287","Calgary","1926","12","Chynna Winter","CWINTECH1","","Mathew Said Morley","CMORLEMA","","CAL Zone CC"
"1","S","600 Princeton Way SW Unit#1402","A1226951","Apartment","Eau Claire","09/09/2022","$2,700,000.00","$2,700,000.00","2,983","Calgary","2007","94","Chase Olsen","COLSENCH","","Scott Van Gaal","CVANGASC","CHAVREJU","CAL Zone CC"
"1","S","222 Marine Drive SE","A1251951","Detached","Mahogany","09/15/2022","$2,659,000.00","$2,500,000.00","4,651","Calgary","2018","29","Erin Reeves","CHUCULER","","Jonas Magnien","CMAGNIJO","","CAL Zone SE"
"1","S","420 49 Avenue SW","A2002200","Detached","Elboya","09/30/2022","$2,449,000.00","$2,420,000.00","3,571","Calgary","2010","8","Michelle Fournier","CFOURNMI","","Tom Gray","CGRAYTO","","CAL Zone CC"
"1","S","2823 7 Avenue NW","A2000668","Detached","West Hillhurst","09/12/2022","$2,290,000.00","$2,400,000.00","3,666","Calgary","2010","3","April DeJong","CDEJONAP","CBABOUMI","Dennis Plintz","CPLINTDE","","CAL Zone CC"
"1","S","1924 45 Avenue SW","A1231089","Detached","Altadore","09/17/2022","$2,449,900.00","$2,350,000.00","3,583","Calgary","2018","91","Tim Taylor","CTAYLOTI1","","Tamara Stearns","CPILIPTA","","CAL Zone CC"
"1","S","600 Princeton Way SW Unit#1502","A2000366","Apartment","Eau Claire","09/14/2022","$2,490,000.00","$2,300,000.00","2,986","Calgary","2007","12","Kirby Cox","CCOXKI","","Mary-Lou McCormick","CMCCORMA1","","CAL Zone CC"
"1","S","128 Waterfront Court SW Unit#501","A1232056","Apartment","Eau Claire","09/02/2022","$2,499,000.00","$2,225,000.00","2,292","Calgary","2020","73","Stella Lau","CLAUST1","","Li Yang","CYANGLI","","CAL Zone CC"
"1","S","121 Scarboro Avenue SW","A1252085","Detached","Scarboro","09/15/2022","$2,250,000.00","$2,190,000.00","2,653","Calgary","2011","24","Gordon W. Ross","CROSSGO1","","Stuart Goss","CGOSSST","","CAL Zone CC"
"1","S","1205 Montreal Avenue SW","A2001103","Detached","Upper Mount Royal","09/28/2022","$2,232,500.00","$2,025,000.00","3,151","Calgary","2001","20","Donna Rooney","CROONEDO","CVALENSU","Gary Cronin","CCRONIGA2","","CAL Zone CC"
"1","S","1628 49 Avenue SW","A1235278","Detached","Altadore","09/30/2022","$2,200,000.00","$1,970,000.00","3,417","Calgary","2013","91","Vivienne Huisman","CFEICKVI","","Jasben Lai","CLAIJA1","CCHANFE","CAL Zone CC"
"1","S","43 Mckenzie Lake Landing SE","A1256981","Detached","McKenzie Lake","09/20/2022","$1,950,000.00","$1,950,000.00","2,286","Calgary","1989","12","Geoff Smith","CSMITHGE2","CSMITHSY","Darcy Brown","CBROWNDA7","","CAL Zone SE"
"1","S","35 Mahogany Circle SE Unit#301","A1256990","Apartment","Mahogany","09/09/2022","$1,999,900.00","$1,949,902.50","1,880","Calgary","2018","1","Michael Laprairie","CLAPRAMI","CSTEWAAL1","Non Board Member","CNONMEMB","","CAL Zone SE"
"1","S","1135 39 Avenue SW","A2000564","Detached","Elbow Park","09/21/2022","$1,899,900.00","$1,875,000.00","2,402","Calgary","1956","20","Donna Rooney","CROONEDO","CCRONIGA2","Gary Cronin","CCRONIGA2","CVALENSU","CAL Zone CC"
"1","S","64 Bow Village Crescent NW","A2001323","Detached","Bowness","09/21/2022","$1,850,000.00","$1,775,000.00","2,593","Calgary","1979","8","Peter Stathopoulos","CSTATHPA","","Michael Montgomery","CMONTGMI","CSTIKKWI","CAL Zone NW"
"1","S","3424 6 Street SW","A1252703","Detached","Elbow Park","09/02/2022","$1,725,000.00","$1,705,000.00","2,473","Calgary","1920","14","Spencer Stupka","CSTUPKSP","CMAYEM","Josh Hamilton","CHAMILJO","","CAL Zone CC"
"1","S","4407 17 Street SW","A1258542","Detached","Altadore","09/22/2022","$1,700,000.00","$1,700,000.00","2,606","Calgary","2022","2","Brad Van De Walle","CVANDEBR1","","Kodette LaBarbera","CLABARKO","CRICHABA","CAL Zone CC"
