"#","St","Address","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","2210 Hope Street SW","A2043966","Detached","Upper Mount Royal","04/30/2023","$4,500,000.00","$4,750,000.00","5,415","Calgary","2004","2","Donna Rooney","CROONEDO","CCRONIGA2","Mary-Lou McCormick","CMCCORMA1","","CAL Zone CC"
"1","S","628 Britannia Drive SW","A2038700","Detached","Elboya","04/10/2023","$4,325,000.00","$4,250,000.00","4,655","Calgary","2008","0","Donna Rooney","CROONEDO","","Non Board Member","CNONMEMB","","CAL Zone CC"
"1","S","3009 Champlain Street SW","A2040709","Detached","Upper Mount Royal","04/17/2023","$3,995,000.00","$3,667,000.00","5,555","Calgary","1995","0","Rachelle Starnes","CSTARNRA","CTAGGANI","Donna Rooney","CROONEDO","CCRONIGA2","CAL Zone CC"
"1","S","2715 Carleton Street SW","A2040094","Detached","Upper Mount Royal","04/22/2023","$3,690,000.00","$3,600,000.00","5,601","Calgary","2011","8","Donna Rooney","CROONEDO","CCRONIGA2","Gary Cronin","CCRONIGA2","","CAL Zone CC"
"1","S","1723 12 Avenue NW","A2041132","Detached","Hounsfield Heights/Briar Hill","04/25/2023","$2,995,000.00","$3,000,000.00","3,210","Calgary","2011","6","Joel Semmens","CSEMMEJO","","Laurie Stewart","CSTEWALA","CBUGGIJO","CAL Zone CC"
"1","S","71 Mahogany Island SE","A2020369","Detached","Mahogany","04/20/2023","$3,050,000.00","$2,900,000.00","3,744","Calgary","2018","76","Michael Burton","CBURTOMI","","Savannah Magnussen","CMAGNUSA","","CAL Zone SE"
"1","S","3407 10 Street SW","A2042259","Detached","Elbow Park","04/21/2023","$3,000,000.00","$2,850,000.00","4,072","Calgary","2013","0","Ben Knopp","CKNOPPBE","","Emily Sudermann","CBROOKEM","CBROOKAM","CAL Zone CC"
"1","S","1155 9 Street NW","A2026716","Detached","Rosedale","04/30/2023","$2,650,000.00","$2,525,000.00","3,452","Calgary","1950","65","Krista Legue","CLEGUEKR","","Tanya Eklund","CEKLUNTA","","CAL Zone CC"
"1","S","2237 13 Street SW","A2015025","Detached","Upper Mount Royal","04/15/2023","$2,599,999.00","$2,400,000.00","4,234","Calgary","1996","127","Lori Russell","CRUSSELO","","Nancy Calvin","CCALVINA","","CAL Zone CC"
"1","S","27 Laneham Place SW","A2012491","Detached","North Glenmore Park","04/09/2023","$2,499,990.00","$2,350,000.00","3,895","Calgary","2014","141","Lucas Moody","CMOODYLU","","Kathy Desilets","CDESILKA","","CAL Zone W"
"1","S","1736 24 Street SW","A2029998","Detached","Scarboro/Sunalta West","04/14/2023","$2,498,000.00","$2,300,000.00","4,669","Calgary","2014","35","Mark Evernden","CEVERNMA","","Mark Evernden","CEVERNMA","","CAL Zone CC"
"1","S","600 Princeton Way SW Unit#307","A2025695","Apartment","Eau Claire","04/30/2023","$2,298,000.00","$2,250,000.00","3,106","Calgary","2007","53","Mark Evernden","CEVERNMA","CBAMBEPH","Corinne Poffenroth","CPOFFECO","","CAL Zone CC"
