"#","St","Address","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","4324 Anne Avenue SW","A1173503","Detached","Britannia","01/02/2023","$3,250,000.00","$3,000,000.00","4,443","Calgary","2018","341","Jeffrey Ostrosser","COSTROJE","","Shawn Riley","CRILEYSH","","CAL Zone CC"
"1","S","1137 Dorchester Ave.  Avenue SW","A2015698","Detached","Upper Mount Royal","01/20/2023","$2,495,000.00","$2,750,000.00","3,214","Calgary","2001","2","Mary-Lou McCormick","CMCCORMA1","","Kathleen Alexander","CALEXAKA","","CAL Zone CC"
"1","S","27 Aspen Ridge Court SW","A2017926","Detached","Aspen Woods","01/29/2023","$2,599,999.00","$2,508,888.00","4,432","Calgary","2013","20","Rachelle Starnes","CSTARNRA","CDEXTEKY","Gloria Sun","CSUNWE","","CAL Zone W"
"1","S","1451 Varsity Estates Drive NW","A2020218","Detached","Varsity","01/30/2023","$2,250,000.00","$2,300,000.00","2,433","Calgary","1975","10","Jeff Neustaedter","CNEUSTJE","","Bob Hearn","CHEARNRO","","CAL Zone NW"
"1","S","600 Princeton Way SW Unit#405","A2012244","Apartment","Eau Claire","01/13/2023","$2,235,000.00","$2,137,500.00","2,904","Calgary","2007","55","Chase Olsen","COLSENCH","","Cindy Skrukwa","CSKRUKCI","","CAL Zone CC"
"1","S","11 Elveden Place SW","A2013724","Detached","Springbank Hill","01/30/2023","$2,248,000.00","$2,100,000.00","5,695","Calgary","2016","61","Mark Evernden","CEVERNMA","","Mark Evernden","CEVERNMA","","CAL Zone W"
"1","S","4668 Montalban Drive NW","A2018466","Detached","Montgomery","01/25/2023","$1,995,000.00","$1,925,000.00","3,121","Calgary","2017","12","Joel Semmens","CSEMMEJO","","Jack Clarke","CCLARKJO2","CYAWNESH","CAL Zone NW"
"1","S","3531 Lakeside Crescent SW","A2001612","Detached","Lakeview","01/18/2023","$1,920,000.00","$1,900,000.00","2,000","Calgary","2023","84","Daniel Weiner","CWEINEDA","","Carmelle Smutko","CSMUTKCA","","CAL Zone W"
"1","S","1821 30 Avenue SW","A2017969","Detached","South Calgary","01/09/2023","$1,875,000.00","$1,875,000.00","2,902","Calgary","2023","0","Daniel Weiner","CWEINEDA","","Candace Stanick","CSTANICA","","CAL Zone CC"
"1","S","73 White Oak Crescent SW","A2019879","Detached","Wildwood","01/31/2023","$1,799,900.00","$1,861,000.00","3,014","Calgary","2023","5","Paul Dhanjal","CDHANJHA","","Curtis Atkinson","CATKINCU","","CAL Zone W"
"1","S","1334 Windsor Street NW","A2017896","Detached","St Andrews Heights","01/26/2023","$1,899,900.00","$1,850,000.00","3,614","Calgary","2014","8","Trevor Ramage","CRAMAGTR","","Vivienne Huisman","CFEICKVI","","CAL Zone CC"
"1","S","1817 30 Avenue SW","A2015763","Detached","South Calgary","01/30/2023","$1,849,900.00","$1,849,900.00","2,905","Calgary","2022","40","Daniel Weiner","CWEINEDA","","Kristina Dominguez","CDOMINKR","CHAVREJU","CAL Zone CC"
"1","S","3119 Kildare Crescent SW","A2015706","Detached","Killarney/Glengarry","01/26/2023","$1,895,000.00","$1,845,000.00","3,120","Calgary","2017","30","Jonathan Popowich","CPOPOWJO","","Lawrence Barnett","CBARNELA","","CAL Zone CC"
"1","S","2615 12 Avenue NW","A2018596","Detached","St Andrews Heights","01/26/2023","$1,750,000.00","$1,694,300.00","3,008","Calgary","2008","13","David Williams","CWILLIDA6","CROMBOJE","Caroline Bereznicki","CBEREZCA","","CAL Zone CC"
"1","S","7028 Bow Crescent NW","A2016667","Detached","Bowness","01/26/2023","$1,699,900.00","$1,600,000.00","2,608","Calgary","1998","24","Lesley Jorgensen","CJORGELE","","Victor Wong","CWONGVI3","","CAL Zone NW"
"1","S","3451 Springbank Drive SW","A2020609","Detached","Springbank Hill","01/28/2023","$1,598,000.00","$1,598,000.00","3,545","Calgary","2010","3","David Pellettier","CPELLEDA","","Jeff Ackerman","CACKERJE","","CAL Zone W"
"1","S","242 Aspen Glen Place SW","A2018709","Detached","Aspen Woods","01/18/2023","$1,475,000.00","$1,576,000.00","3,163","Calgary","2009","6","Gord Piper","CPIPERGO","CWILCOTH","Aly Remtulla","CREMTUAL","","CAL Zone W"
"1","S","98 Chapala Crescent SE","A1254444","Detached","Chaparral","01/28/2023","$1,599,900.00","$1,475,500.00","2,591","Calgary","1999","142","Ryan Hicke","CHICKERY","","Crystal Tost","CMYERSCR","","CAL Zone S"
"1","S","243 Cranarch Circle SE","A2018410","Detached","Cranston","01/16/2023","$1,495,000.00","$1,450,000.00","1,917","Calgary","2013","2","James Macoun","CMACOUJA1","","John Evin","CEVINJO","","CAL Zone SE"
"1","S","160 Edelweiss Drive NW","A2018732","Detached","Edgemont","01/27/2023","$1,349,900.00","$1,400,000.00","2,868","Calgary","1987","8","Kirby Cox","CCOXKI","","Colin Ongyerth","CONGYECO","","CAL Zone NW"
"1","S","119 Garden Crescent SW","A2002667","Detached","Elbow Park","01/24/2023","$1,455,000.00","$1,394,000.00","2,522","Calgary","1912","120","Stuart Goss","CGOSSST","CMACAUKE1","Non Board Member","CNONMEMB","","CAL Zone CC"
"1","S","115 35 Street NW","A2007615","Detached","Parkdale","01/16/2023","$1,479,900.00","$1,382,500.00","2,504","Calgary","2007","86","Cheryl Bottomley","CBOTTOCH","","Joe Viani","CVIANIJO","","CAL Zone CC"
"1","S","123 Aspen Summit View SW","A2021209","Detached","Aspen Woods","01/30/2023","$1,299,999.00","$1,361,000.00","3,277","Calgary","2014","3","Patrick Okose","COKOSUPA","CGREWAAS","Shiva Shahrestani","CSHAHRSH","","CAL Zone W"
"1","S","373 Wildwood Drive SW","A2008800","Detached","Wildwood","01/13/2023","$1,389,000.00","$1,340,000.00","2,476","Calgary","1957","49","Gareth Hughes","CHUGHEGA","","Michael Gauthier","CGAUTHMI","","CAL Zone W"
"1","S","2535 4th Avenue NW","A2011263","Detached","West Hillhurst","01/24/2023","$1,285,000.00","$1,314,458.80","2,383","Calgary","2022","55","Erin Reeves","CHUCULER","","Rob Smith","CSMITHRO8","","CAL Zone CC"
"1","S","42 Rock Lake View NW","A2005248","Detached","Rocky Ridge","01/19/2023","$1,338,000.00","$1,300,000.00","2,828","Calgary","2022","98","Tony Dimarzo","CDIMARTO","","Katina Martin","CMARTIKA1","","CAL Zone NW"
"1","S","61 Westmore Park SW","A2016285","Detached","West Springs","01/17/2023","$1,289,000.00","$1,272,000.00","3,050","Calgary","2022","21","Avneet Mundi","cmundiav","","Jeff Ackerman","CACKERJE","","CAL Zone W"
"1","S","4707 21A Street","A2010884","Detached","Garrison Woods","01/28/2023","$1,299,000.00","$1,260,000.00","2,742","Calgary","2023","82","Lisa Johnson","CJOHNSLI1","","Janice Philo","CPHILOJA","CKENNEGR","CAL Zone CC"
"1","S","1914 49 Avenue SW","A2017082","Semi Detached (Half Duplex)","Altadore","01/26/2023","$1,250,000.00","$1,250,000.00","2,331","Calgary","2015","20","Susan Harrigan","CHARRIMA","","Josh Hamilton","CHAMILJO","","CAL Zone CC"
"1","S","2515 Chateau Place NW","A2007026","Detached","Charleswood","01/27/2023","$1,249,900.00","$1,250,000.00","2,325","Calgary","1964","101","Tanya Eklund","CEKLUNTA","","Giovanni Perri","CPERRIGI","","CAL Zone NW"
"1","S","1727 24 Street SW","A2006718","Detached","Shaganappi","01/05/2023","$1,249,999.00","$1,215,000.00","2,925","Calgary","1912","77","Paul Paterson","CPATERJO","","Joseph Buggie","CBUGGIJO","CSTEWALA","CAL Zone CC"
