"#","St","Address","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","6908 Livingstone Drive SW","A2040142","Detached","Lakeview","06/16/2023","$4,750,000.00","$4,700,000.00","5,219","Calgary","2015","57","Rachelle Starnes","CSTARNRA","CDEXTEKY","Marnie Campbell","CCAMPBMA1","","CAL Zone W"
"1","S","323 Marina Landing SE","A2057538","Detached","Mahogany","06/30/2023","$2,990,000.00","$2,900,000.00","4,563","Calgary","2022","14","Len T. Wong","CWONGLE3","","Michael Sherrard","CSHERRMI","","CAL Zone SE"
"1","S","47 Mahogany Island SE","A2044145","Detached","Mahogany","06/19/2023","$2,950,000.00","$2,700,000.00","4,219","Calgary","2017","42","Chucks Okafor","COKAFOCH","","Calvin Bass","CBASSCA","","CAL Zone SE"
"1","S","3636 8A Street SW","A2050208","Detached","Elbow Park","06/01/2023","$2,699,900.00","$2,645,000.00","3,202","Calgary","2004","13","Donna Rooney","CROONEDO","CCRONIGA2","Tanya Eklund","CEKLUNTA","","CAL Zone CC"
"1","S","2710 10 Street SW","A2056812","Detached","Upper Mount Royal","06/16/2023","$2,630,000.00","$2,630,000.00","3,107","Calgary","1930","2","Mary-Lou McCormick","CMCCORMA1","","Mary-Lou McCormick","CMCCORMA1","","CAL Zone CC"
"1","S","215 39 Avenue SW","A2052174","Detached","Elbow Park","06/16/2023","$2,430,000.00","$2,530,000.00","3,256","Calgary","2002","6","Al Wong","CWONGAL9","","Tanya Eklund","CEKLUNTA","","CAL Zone CC"
"1","S","55 Sunset Way SE","A2053215","Detached","Sundance","06/01/2023","$2,498,000.00","$2,500,000.00","4,348","Calgary","1997","0","Richard Lobsinger","CLOBSIRI","","Brady Layton","CLAYTOBR","","CAL Zone S"
"1","S","703 32 Avenue SW","A2025195","Detached","Elbow Park","06/11/2023","$2,499,900.00","$2,499,900.00","3,728","Calgary","1926","116","Donna Rooney","CROONEDO","CCRONIGA2","Robin Clegg","CCLEGGRO","","CAL Zone CC"
"1","S","2909 Carleton Street SW","A2056969","Detached","Upper Mount Royal","06/29/2023","$2,449,000.00","$2,449,000.00","4,288","Calgary","1930","16","Karen Fawcett","CFAWCEKA","","Holly Bennett","CBENNEHO","","CAL Zone CC"
"1","S","36 Willow Park Green SE","A2052947","Detached","Willow Park","06/22/2023","$2,495,000.00","$2,375,000.00","2,881","Calgary","1981","20","Wendy Wacko","CWACKOWE","","Gary Cronin","CCRONIGA2","","CAL Zone S"
"1","S","2735 Lougheed Drive SW","A2058611","Detached","Lakeview","06/30/2023","$2,375,000.00","$2,350,000.00","3,536","Calgary","2017","11","Daniel Weiner","CWEINEDA","","Aly Remtulla","CREMTUAL","","CAL Zone W"
"1","S","1719 92 Avenue SW","A2058313","Detached","Pump Hill","06/30/2023","$2,350,000.00","$2,345,000.00","3,693","Calgary","1985","7","Dennis Plintz","CPLINTDE","CRENEADE","Steve Hunter","CHUNTEST","","CAL Zone S"
"1","S","3610 Elbow Drive SW","A2053565","Detached","Elbow Park","06/04/2023","$2,250,000.00","$2,250,000.00","2,528","Calgary","1941","3","Donna Rooney","CROONEDO","CCRONIGA2","Gary Cronin","CCRONIGA2","","CAL Zone CC"
"1","S","3825 10 Street SW","A2056451","Detached","Elbow Park","06/11/2023","$1,990,000.00","$2,205,000.00","2,585","Calgary","1962","2","Donna Rooney","CROONEDO","CCRONIGA2","Shawn Kennedy","CKENNESH","","CAL Zone CC"
"1","S","3620 6 Street SW","A2044224","Detached","Elbow Park","06/28/2023","$2,299,000.00","$2,200,000.00","3,503","Calgary","1917","60","William Lowe","CLOWEWI","","Karen Fawcett","CFAWCEKA","","CAL Zone CC"
"1","S","2211 13 Street SW","A2037383","Detached","Upper Mount Royal","06/21/2023","$2,200,000.00","$2,085,000.00","2,268","Calgary","1954","70","Erin Ferguson","CFERGUER","","Lisa O'Hara","CVANHOLI","","CAL Zone CC"
"1","S","27 Rosery Place NW","A2021991","Detached","Rosemont","06/27/2023","$2,100,000.00","$2,050,000.00","3,536","Calgary","2004","144","Mark Neustaedter","CNEUSTMA","CNEUSTNA","Davide Gallo","CGALLODA","","CAL Zone CC"
"1","S","107 Mahogany Landing SE","A2021309","Detached","Mahogany","06/06/2023","$2,100,000.00","$2,050,000.00","3,235","Calgary","2015","126","Robert Vanovermeire","CVANOVRO","","Angelo Mancuso","CMANCUAN","","CAL Zone SE"
"1","S","21 Massey Place SW","A2054506","Detached","Mayfair","06/23/2023","$1,995,000.00","$1,979,500.00","2,756","Calgary","1959","9","John McNeill","CMCNEIJO","","Chris Zaharko","CZAHARCH","","CAL Zone CC"
"1","S","79 Discovery Valley Cove SW","A2048338","Detached","Discovery Ridge","06/02/2023","$1,999,900.00","$1,970,000.00","4,082","Calgary","2007","21","Ross Aitken","CAITKERO","","Stirling Karlsen","CKARLSST","","CAL Zone W"
"1","S","608 27 Avenue NW","A2059397","Detached","Mount Pleasant","06/30/2023","$1,888,000.00","$1,880,000.00","2,695","Calgary","2014","10","Perri Scarcelli","CSCARCPE","","Brandon Harris","CHARRIBR","","CAL Zone CC"
