"#","St","Address","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","231 37 Avenue SW","A2036266","Detached","Elbow Park","05/26/2023","$4,895,000.00","$4,800,000.00","4,628","Calgary","1996","22","Gordon  Ross","CROSSGO1","","Gary Cronin","CCRONIGA2","","CAL Zone CC"
"1","S","70 Posthill Drive SW","A2039266","Detached","Springbank Hill","05/10/2023","$3,595,000.00","$3,600,000.00","5,628","Calgary","2009","12","Corinne Poffenroth","CPOFFECO","","Sam Corea","CCOREASA","","CAL Zone W"
"1","S","4215 16A Street SW","A2045354","Detached","Altadore","05/10/2023","$3,390,000.00","$3,390,000.00","4,120","Calgary","2017","7","Michael Beckett","CBECKEMI","","Christopher Duffy","CDUFFYCH","CAUDETCH","CAL Zone CC"
"1","S","58 Posthill Drive SW","A2036407","Detached","Springbank Hill","05/04/2023","$3,300,000.00","$3,075,000.00","4,347","Calgary","2012","20","Afaf Jomaa","CJOMAAAF","","Cam Sterns","CSTERNCA","","CAL Zone W"
"1","S","3624 13A Street SW","A2045781","Detached","Elbow Park","05/14/2023","$2,999,900.00","$2,999,900.00","4,004","Calgary","2013","10","Tanya Eklund","CEKLUNTA","","Amy Brooks","CBROOKAM","","CAL Zone CC"
"1","S","3025 Linden Drive SW","A2047268","Detached","Lakeview","05/20/2023","$2,950,000.00","$2,900,000.00","3,801","Calgary","1966","5","Gordon  Ross","CROSSGO1","","Carson Weston","CWESTOCA","","CAL Zone W"
"1","S","2231 Mahogany Boulevard SE Unit#601","A2040708","Apartment","Mahogany","05/09/2023","$2,999,900.00","$2,900,000.00","2,864","Calgary","2020","21","Lucas Moody","CMOODYLU","","Michael Laprairie","CLAPRAMI","CSTEWAAL1","CAL Zone SE"
"1","S","2647 12 Avenue NW","A2042855","Detached","St Andrews Heights","05/19/2023","$2,700,000.00","$2,500,000.00","3,511","Calgary","2015","24","Vivienne Huisman","CFEICKVI","","Vivienne Huisman","CFEICKVI","","CAL Zone CC"
"1","S","541 Riverdale Avenue SW","A2034440","Detached","Elboya","05/29/2023","$2,399,500.00","$2,399,500.00","3,101","Calgary","2023","55","Akbar Nimji","CNIMJIAK","","Akbar Nimji","CNIMJIAK","","CAL Zone CC"
"1","S","313 Elbow Park SW","A2044237","Detached","Elbow Park","05/12/2023","$2,399,900.00","$2,380,000.00","3,310","Calgary","1913","12","Donna Rooney","CROONEDO","CCRONIGA2","Gary Cronin","CCRONIGA2","CCRONILI","CAL Zone CC"
"1","S","6131 Belvedere Road SW","A2042435","Detached","Bel-Aire","05/23/2023","$2,350,000.00","$2,375,000.00","2,941","Calgary","2011","4","John McNeill","CMCNEIJO","","Chris Zaharko","CZAHARCH","","CAL Zone CC"
"1","S","2022 29 Avenue SW","A2041292","Detached","South Calgary","05/25/2023","$2,298,000.00","$2,350,000.00","4,863","Calgary","2012","34","Mike Dreger","CDREGEMI","CHEINBDO","Christopher Matlashewski","CMATLACH","","CAL Zone CC"
"1","S","29 Timberline Court SW","A2029523","Detached","Springbank Hill","05/09/2023","$1,869,000.00","$2,350,000.00","3,488","Calgary","2023","59","Oliver Trutina","CTRUTIOL","","Non Board Member","CNONMEMB","","CAL Zone W"
"1","S","209 Varsity Estates Bay NW","A2019677","Detached","Varsity","05/01/2023","$2,298,800.00","$2,340,000.00","3,944","Calgary","1972","96","John Malick","CMALICJO","","Julie Bouchard","CBOUCHJU1","","CAL Zone NW"
"1","S","6 Spring Valley Terrace SW","A2020027","Detached","Springbank Hill","05/08/2023","$2,595,000.00","$2,295,000.00","6,182","Calgary","2006","109","Ross Pavl","CPAVLYRO","","Doug McNaughton","CMCNAUDO","","CAL Zone W"
