"#","St","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","A2099650","Detached","Upper Mount Royal","04/25/2024","$6,000,000.00","$5,082,250.00","5,813","860 Hillcrest Avenue SW","Calgary","2019","81","Ruth Alexander","CALEXAMA","","Al Sarpalius","CSARPAAL","","CAL Zone CC"
"1","S","A2111429","Detached","Aspen Woods","04/10/2024","$4,499,900.00","$4,330,000.00","5,048","105 Aspen Ridge Heights SW","Calgary","2019","41","Crystal Tost","CMYERSCR","CTOSTTY","Gemma Hobb","CHOBBGE","","CAL Zone W"
"1","S","A2109283","Detached","Mahogany","04/11/2024","$3,775,000.00","$3,500,000.00","4,750","55 Mahogany Island SE","Calgary","2018","41","Leslie Schmeiler","CSCHMELE","","Ella Kuindersma","CKUINDLA","","CAL Zone SE"
"1","S","A2100075","Apartment","Eau Claire","04/24/2024","$3,188,000.00","$3,047,000.00","3,210","600 Princeton Way SW Unit#507","Calgary","2007","110","Anne Clarke-Davidson","CCLARKAN2","","Cynthia Mackenzie","CMACKECY","","CAL Zone CC"
"1","S","A2113671","Detached","Springbank Hill","04/15/2024","$2,999,999.00","$2,916,202.00","4,645","15 Elveden Place SW","Calgary","2021","34","Kyle Dexter","CDEXTEKY","CSTARNRA","Tyler Tost","CTOSTTY","CMYERSCR","CAL Zone W"
"1","S","A2123155","Detached","Elbow Park","04/15/2024","$2,650,000.00","$2,650,000.00","3,101","906 Ridge Road SW","Calgary","1981","0","Emma May","CMAYEM","","Gary Cronin","CCRONIGA2","CROONEDO","CAL Zone CC"
"1","S","A2124217","Detached","Sundance","04/26/2024","$2,445,000.00","$2,445,000.00","3,342","825 Suncastle Road SE","Calgary","1986","7","Vince Degiuseppe","CDEGIUVI","","Steve Hunter","CHUNTEST","","CAL Zone S"
"1","S","A2117680","Detached","Elbow Park","04/15/2024","$2,500,000.00","$2,415,000.00","2,360","3817 9 Street SW","Calgary","1952","21","Judy Poole","CPOOLEJU","","James Murphy","CMURPHJA1","","CAL Zone CC"
"1","S","A2103808","Detached","Altadore","04/06/2024","$2,269,000.00","$2,269,000.00","2,788","4213 17 Street SW","Calgary","2015","3","John McNeill","CMCNEIJO","","John McNeill","CMCNEIJO","","CAL Zone CC"
"1","S","A2099299","Detached","Altadore","04/26/2024","$2,500,000.00","$2,200,000.00","3,291","1615 48 Avenue SW","Calgary","2008","114","Renata M. Reid","CREIDREN","","Tanya Eklund","CEKLUNTA","","CAL Zone CC"
"1","S","A2120738","Detached","Springbank Hill","04/19/2024","$2,280,000.00","$2,150,000.00","3,071","15 Spring Valley Heights SW","Calgary","2008","9","John Hripko","CHRIPKJO","CHRIPKAL","Kim Vink","CVINKKI","","CAL Zone W"
"1","S","A2112197","Detached","Sundance","04/09/2024","$2,190,000.00","$2,080,000.00","3,141","49 Sunset Way SE","Calgary","1995","34","Richard Lobsinger","CLOBSIRI","","Richard Lobsinger","CLOBSIRI","","CAL Zone S"
"1","S","A2118981","Apartment","Chinatown","04/24/2024","$2,199,999.00","$2,050,000.00","2,298","222 Riverfront Avenue SW Unit#2212","Calgary","2013","22","Nhi Tran","CBUINH","","Nelson Yarmoloy","CYARMONE","","CAL Zone CC"
"1","S","A2102244","Detached","Upper Mount Royal","04/10/2024","$2,098,000.00","$1,995,000.00","2,879","1931 10 Street SW","Calgary","1914","82","Dennis Plintz","CPLINTDE","CRENEADE","Cloe Behrman","CBEHRMCL","","CAL Zone CC"
"1","S","A2115300","Detached","Charleswood","04/01/2024","$1,978,000.00","$1,978,000.00","3,289","5219 Carney Road NW","Calgary","2013","10","Julio Florez","CFLOREJU","","Peter Rallios","CRALLIPE","","CAL Zone NW"
"1","S","A2091868","Detached","Silverado","04/10/2024","$1,999,999.00","$1,885,000.00","2,263","317 Silverado Ranch Manor SW","Calgary","2012","156","Kim Vink","CVINKKI","","Michael Zarowny","CZAROWMI","","CAL Zone S"
"1","S","A2109323","Detached","Richmond","04/15/2024","$1,795,000.00","$1,830,000.00","2,972","3224 27 Street SW","Calgary","2012","4","Ted Greenhough","CGREENTE","","Rebecca Chamberlain","CCHAMBRE","","CAL Zone CC"
"1","S","A2102427","Detached","Collingwood","04/04/2024","$1,799,000.00","$1,825,128.96","3,463","36 Cuthbert Place NW","Calgary","2024","75","Mel Star","CSTARME","","Sylvia Castonguay","CCASTOSY","","CAL Zone NW"
"1","S","A2108145","Detached","Discovery Ridge","04/02/2024","$1,880,000.00","$1,820,000.00","3,372","35 Discovery Ridge Mount SW","Calgary","2002","46","Jason Ford","CFORDJA1","","Alexandra La Barbera","CLABARAL","","CAL Zone W"
"1","S","A2126111","Detached","Altadore","04/29/2024","$1,795,000.00","$1,801,000.00","2,472","3819 16A Street SW","Calgary","2006","4","Joel Semmens","CSEMMEJO","","Jean-Sebastien Morency","CMORENJE","","CAL Zone CC"
"1","S","A2118314","Detached","Lakeview","04/12/2024","$1,775,000.00","$1,800,000.00","2,440","6918 Lefroy Court SW","Calgary","1966","0","Mark Lofgren","CLOFGRMA","CLOFGRCH","Daniel Weiner","CWEINEDA","","CAL Zone W"
"1","S","A2109975","Detached","Springbank Hill","04/04/2024","$1,950,000.00","$1,800,000.00","5,425","21 Elveden Drive SW","Calgary","2008","40","Ernest Gardy","CGARDYER","","Ernest Gardy","CGARDYER","","CAL Zone W"
"1","S","A2117734","Detached","Aspen Woods","04/10/2024","$1,749,900.00","$1,795,000.00","3,179","517 Aspen Glen Place SW","Calgary","2010","6","Yoki Nichol","CNICHOYO","CNICHOJE","Aylana Hao","CHAOAJ","","CAL Zone W"
"1","S","A2110298","Detached","North Glenmore Park","04/19/2024","$1,899,000.00","$1,785,000.00","2,088","2032 56 Avenue SW","Calgary","2021","52","Mario Micciolo","CMICCIMA","CMICCIKA","Susan King","CKINGSU","","CAL Zone W"
"1","S","A2122831","Detached","Crestmont","04/18/2024","$1,850,000.00","$1,775,000.00","3,870","57 Crestridge View SW","Calgary","2010","5","Robin Hillier","CHILLIRO","","Jonathan Salois","CSALOIJO","","CAL Zone W"
"1","S","A2112847","Detached","Aspen Woods","04/25/2024","$1,799,900.00","$1,760,000.00","3,480","174 Aspen Summit Circle SW","Calgary","2019","36","Emmanuel Ajayi","CAJAYIOM","","Taeju Lee","CLEETA","","CAL Zone W"
"1","S","A2111838","Apartment","Downtown Commercial Core","04/18/2024","$1,750,000.00","$1,750,000.00","1,882","108 9 Avenue SW Unit#2003","Calgary","2010","35","Corinne Poffenroth","CPOFFECO","CNICHOLU","Paula Murphy","CMURPHPA1","","CAL Zone CC"
"1","S","A2123321","Detached","Wildwood","04/30/2024","$1,725,000.00","$1,725,000.00","2,865","52 45 Street SW","Calgary","2013","4","Paul Loutitt","CLOUTIPA","","Kamil Lalji","CLALJIKA","","CAL Zone W"
"1","S","A2112694","Detached","Richmond","04/02/2024","$1,799,900.00","$1,725,000.00","3,132","2032 25A Street SW","Calgary","2012","25","Jim Dasouki","CDASOUJA","","Leah Hughson","CHUGHSLE","","CAL Zone CC"
"1","S","A2121918","Detached","Bayview","04/28/2024","$1,549,900.00","$1,702,000.00","3,201","2418 Bay View Place SW","Calgary","1974","3","Amy Brooks","CBROOKAM","CBROOKEM","Chase Olsen","COLSENCH","","CAL Zone S"
"1","S","A2101365","Semi Detached (Half Duplex)","Cliff Bungalow","04/15/2024","$1,695,000.00","$1,694,250.00","2,508","619 Royal Avenue SW","Calgary","2024","21","Shamila Sunderji","CSUNDESH","","Carlin Koster","CKOSTECA","","CAL Zone CC"
"1","S","A2113983","Detached","Upper Mount Royal","04/11/2024","$1,795,000.00","$1,690,000.00","2,867","2609 8 Street SW","Calgary","1945","26","Dixie Bain","CBAINDI","","Tomasz Samborski","CSAMBOTO","","CAL Zone CC"
"1","S","A2116845","Detached","Bowness","04/06/2024","$1,699,000.00","$1,674,999.90","2,751","6047 Bow Crescent NW","Calgary","2023","12","Michael Baboushkin","CBABOUMI","CDEJONAP","Jeff Pasche","CPASCHJE","","CAL Zone NW"
"1","S","A2107590","Detached","Bridgeland/Riverside","04/19/2024","$1,679,000.00","$1,670,000.00","3,011","935 Drury Avenue NE","Calgary","2021","63","Dylan Oneschuk","CONESCDY","CCOPLACA","Sam Geram-Fard","CGERAMSA","","CAL Zone CC"
"1","S","A2114516","Detached","Britannia","04/16/2024","$1,675,000.00","$1,665,000.00","1,759","707 Imperial Way SW","Calgary","1955","33","Justin Havre","CHAVREJU","CGILLMU","Alex Sazanovich","CSAZANAL","CBAVOLAR","CAL Zone CC"
"1","S","A2117279","Detached","West Springs","04/11/2024","$1,698,000.00","$1,646,000.00","3,191","3 Westpark Place SW","Calgary","2006","17","David Pellettier","CPELLEDA","","Janet Houle","CHOULEJA","","CAL Zone W"
"1","S","A2124690","Detached","Aspen Woods","04/29/2024","$1,675,000.00","$1,639,000.00","2,811","26 Aspen Dale Court SW","Calgary","2011","6","David Pellettier","CPELLEDA","","Gagan Jagdey","CJAGDEGA","CBANIPSU","CAL Zone W"
"1","S","A2116238","Detached","South Calgary","04/16/2024","$1,550,000.00","$1,610,000.00","2,538","1708 32 Avenue SW","Calgary","2016","11","Gemma Festa","CFESTAGE","","Cindy Bauer","CBAUERCI","CGOLEMI","CAL Zone CC"
"1","S","A2115620","Detached","NONE","04/08/2024","$1,625,000.00","$1,600,000.00","2,913","76 Bearspaw Meadows Way NW","Calgary","2007","3","Rod Burriss","CBURRIRO1","","Rod Burriss","CBURRIRO1","",""
"1","S","A2117094","Detached","Glendale","04/22/2024","$1,649,000.00","$1,585,000.00","2,413","1936 Glenmount Drive SW","Calgary","2017","31","Joel Panchuk","CPANCHJO","","Brenda Parai","CPARAIBR","","CAL Zone W"
"1","S","A2122059","Detached","Cranston","04/19/2024","$1,599,900.00","$1,569,000.00","3,460","227 Cranarch Circle SE","Calgary","2010","8","Kirby Cox","CCOXKI","","Jordan Lotoski","CLOTOSJO","","CAL Zone SE"
"1","S","A2108489","Detached","West Hillhurst","04/04/2024","$1,599,990.00","$1,560,000.00","2,649","1909 Broadview Road NW","Calgary","2023","47","Tony Irshad","CIRSHAAB","","Minae Keck","CPARKMI","","CAL Zone CC"
"1","S","A2125380","Detached","Upper Mount Royal","04/29/2024","$1,499,900.00","$1,548,000.00","2,149","3219 Alfege Street SW","Calgary","1931","4","Kevin French","CFRENCKE","CSCOTTDA1","Joel Semmens","CSEMMEJO","","CAL Zone CC"
"1","S","A2122045","Detached","Tuscany","04/15/2024","$1,399,900.00","$1,505,000.00","3,041","259 Tuscany Estates Rise NW","Calgary","2009","4","Jeff Neustaedter","CNEUSTJE","","Serhan Tarkan","CTARKASE","","CAL Zone NW"
"1","S","A2114466","Detached","Richmond","04/04/2024","$1,499,900.00","$1,500,000.00","2,676","2210 31 Avenue SW","Calgary","2018","22","Donna Rooney","CROONEDO","CCRONIGA2","Christine Tulk","CTULKCH","CHAVREJU","CAL Zone CC"
"1","S","A2114996","Detached","Parkdale","04/11/2024","$1,600,000.00","$1,495,000.00","2,113","210 37 Street NW","Calgary","1911","27","Tim Volkman","CVOLKMTI","","Graham Terryberry","CTERRYGR","","CAL Zone CC"
"1","S","A2109125","Detached","Springbank Hill","04/20/2024","$1,499,900.00","$1,495,000.00","4,167","34 Spring Valley Place SW","Calgary","2006","59","Jordan Huntrods","CHUNTRJO","","Pamela Chai","CCHAIPA","","CAL Zone W"
"1","S","A2120252","Detached","Bridgeland/Riverside","04/22/2024","$1,499,900.00","$1,490,000.00","2,899","102 11 Street NE","Calgary","2013","17","Tanya Eklund","CEKLUNTA","","Tomasz Samborski","CSAMBOTO","","CAL Zone CC"
"1","S","A2113036","Detached","Richmond","04/07/2024","$1,500,000.00","$1,490,000.00","2,595","2134 32 Avenue SW","Calgary","2012","10","Kamil Lalji","CLALJIKA","","Nathan Leech","CLEECHNA","","CAL Zone CC"
"1","S","A2121339","Detached","Springbank Hill","04/13/2024","$1,499,900.00","$1,480,000.00","2,291","20 Slopes Grove SW","Calgary","2000","2","Brian Skinner","CSKINNBR","","Brian Skinner","CSKINNBR","","CAL Zone W"
"1","S","A2121355","Detached","Christie Park","04/18/2024","$1,475,000.00","$1,475,000.00","2,549","96 Christie Park View SW","Calgary","1991","7","Jamie Newton","CNEWTOJA","CSIMONMA3","Elizabeth Graham","cgrahael","","CAL Zone W"
"1","S","A2089541","Semi Detached (Half Duplex)","Parkhill","04/12/2024","$1,489,900.00","$1,475,000.00","2,332","4202 1A Street SW","Calgary","2010","147","Charli Baker","CBAKERCH","","Donna Rooney","CROONEDO","","CAL Zone CC"
"1","S","A2118441","Detached","Aspen Woods","04/13/2024","$1,500,000.00","$1,470,000.00","2,779","52 Aspen Cliff Close SW","Calgary","2010","16","Kevin Chau","CCHAUKE","","Anthony Therrien-Bernard","CTHERRAN","","CAL Zone W"
"1","S","A2116044","Detached","Aspen Woods","04/22/2024","$1,498,000.00","$1,470,000.00","2,064","119 Aspen Meadows Place SW","Calgary","2002","25","Janet Mericle","CMERICJA","","Janet Mericle","CMERICJA","","CAL Zone W"
"1","S","A2109062","Detached","Bowness","04/09/2024","$1,494,900.00","$1,460,000.00","3,027","6007 Bowwater Crescent NW","Calgary","2017","46","Sharon Schille","CSCHILSH","","Christopher Matlashewski","CMATLACH","","CAL Zone NW"
"1","S","A2121346","Detached","Willow Park","04/18/2024","$1,525,000.00","$1,450,000.00","2,387","10707 Willowfern Drive SE","Calgary","1969","8","Lyle Peterman","CPETERLY","","Tara Rindfliesch","CRINDFTA","","CAL Zone S"
"1","S","A2110315","Detached","Parkdale","04/12/2024","$1,489,000.00","$1,450,000.00","2,261","120 34A Street NW","Calgary","2004","23","Charli Baker","CBAKERCH","CRICHABA","Tony Valckx","CVALCKTO","","CAL Zone CC"
"1","S","A2122114","Detached","Discovery Ridge","04/15/2024","$1,295,000.00","$1,425,500.00","2,796","58 Discovery Ridge View SW","Calgary","2000","4","Kevin Shapkin","CSHAPKKE","","Jason Bamlett","CBAMLEJA","","CAL Zone W"
"1","S","A2099618","Apartment","Mission","04/19/2024","$1,325,000.00","$1,420,000.00","1,677","228 26 Avenue SW Unit#1504","Calgary","2000","7","John McNeill","CMCNEIJO","","John McNeill","CMCNEIJO","","CAL Zone CC"
"1","S","A2103201","Detached","Cranston","04/13/2024","$1,439,000.00","$1,410,000.00","1,770","121 Cranbrook Heights SE","Calgary","2019","76","Bryce Muir","CMUIRBR","","Nathan Leech","CLEECHNA","","CAL Zone SE"
"1","S","A2123268","Detached","Parkland","04/26/2024","$1,299,000.00","$1,400,000.00","2,389","935 Parkvalley Way SE","Calgary","1976","8","Christopher Lofgren","CLOFGRCH","CLOFGRMA","Chase Olsen","COLSENCH","","CAL Zone S"
"1","S","A2122287","Detached","Hawkwood","04/22/2024","$1,395,000.00","$1,400,000.00","1,927","145 Hawkside Mews NW","Calgary","1996","10","Sam Corea","CCOREASA","","Chris Fullerton","CFULLECH","","CAL Zone NW"
"1","S","A2114757","Detached","Britannia","04/02/2024","$1,400,000.00","$1,400,000.00","2,145","712 Madison Avenue SW","Calgary","1955","19","Sheila Lamy","CLAMYSH","","Jordan Lotoski","CLOTOSJO","","CAL Zone CC"
