"#","St","Address","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","2710 Marquette Street SW","A2149745","Detached","Upper Mount Royal","08/02/2024","$4,800,000.00","$4,700,000.00","4,440","Calgary","2018","18","Joel Semmens","CSEMMEJO","","Pedro Villamar","CVILLAPE","","CAL Zone CC"
"1","S","143 Eagle Ridge Drive SW","A2147259","Detached","Eagle Ridge","08/16/2024","$4,750,000.00","$4,650,000.00","5,985","Calgary","2016","7","Melissa Gallagher","CGALLAME","","Joel Semmens","CSEMMEJO","CHAREVA","CAL Zone S"
"1","S","3401 10 Street SW","A2150125","Detached","Elbow Park","08/02/2024","$3,400,000.00","$3,350,000.00","3,542","Calgary","2015","14","Travis Munroe","CMUNROTR","","Tanya Eklund","CEKLUNTA","","CAL Zone CC"
"1","S","626 Riverdale Avenue SW","A2139911","Detached","Elbow Park","08/02/2024","$3,495,000.00","$3,305,000.00","4,225","Calgary","1989","42","Joel Semmens","CSEMMEJO","","Travis Munroe","CMUNROTR","","CAL Zone CC"
"1","S","1018 Frontenac Avenue SW","A2150152","Detached","Upper Mount Royal","08/17/2024","$3,250,000.00","$3,045,000.00","2,951","Calgary","1940","31","Robert Murray","CMURRARO","","Clare Pett","CPETTCL","","CAL Zone CC"
"1","S","201 Superior Avenue SW","A2155531","Detached","Scarboro","08/19/2024","$2,988,000.00","$2,988,000.00","3,559","Calgary","2011","6","Gregory Dudar","CDUDARGR","","Tammy MacDonald","CMACDOTA","","CAL Zone CC"
"1","S","1009 38 Avenue SW","A2146933","Detached","Elbow Park","08/19/2024","$3,100,000.00","$2,982,500.00","4,657","Calgary","2010","45","Ella Kuindersma","CKUINDLA","CALLADZI","Tanya Eklund","CEKLUNTA","","CAL Zone CC"
"1","S","725 Riverdale Avenue SW","A2122930","Detached","Elbow Park","08/15/2024","$2,990,000.00","$2,948,000.00","2,901","Calgary","1998","0","John McNeill","CMCNEIJO","","Gary Cronin","CCRONIGA2","CROONEDO","CAL Zone CC"
"1","S","211 33 Avenue SW","A2153450","Detached","Parkhill","08/21/2024","$2,825,000.00","$2,750,000.00","3,138","Calgary","2002","20","Vivienne Huisman","CFEICKVI","","Lori Russell","CRUSSELO","","CAL Zone CC"
"1","S","508 49 Avenue SW","A2161120","Detached","Elboya","08/30/2024","$2,595,000.00","$2,700,000.00","3,450","Calgary","2013","2","Joel Semmens","CSEMMEJO","","Livia McCabe","CMCCABLI","","CAL Zone CC"
"1","S","222 Marine Drive SE","A2120532","Detached","Mahogany","08/28/2024","$2,750,000.00","$2,700,000.00","4,651","Calgary","2018","111","Erin Reeves","CHUCULER","","Cristina Emerson","CEMERSCR","","CAL Zone SE"
"1","S","3425 Lake Court SW","A2155943","Detached","Lakeview","08/23/2024","$2,650,000.00","$2,550,000.00","3,004","Calgary","1967","2","Livia McCabe","CMCCABLI","","Brendan Hughes","CHUGHEBR","","CAL Zone W"
"1","S","47 Aspen Ridge Court SW","A2105046","Detached","Aspen Woods","08/12/2024","$2,649,999.00","$2,528,000.00","4,074","Calgary","2016","193","Kevin Thygesen","CTHYGEKE","","Zhao Zhang","CZHANGZH2","","CAL Zone W"
"1","S","3812 12 Street SW","A2152594","Detached","Elbow Park","08/30/2024","$2,545,000.00","$2,425,000.00","3,403","Calgary","2002","18","Andrea Nemeth","CNEMETAN","","Spencer Stupka","CSTUPKSP","","CAL Zone CC"
"1","S","4532 Chapel Road NW","A2155260","Detached","Charleswood","08/16/2024","$2,400,000.00","$2,400,000.00","3,385","Calgary","2023","10","Josh Hamilton","CHAMILJO","","Josh Hamilton","CHAMILJO","","CAL Zone NW"
"1","S","34 Lissington Drive SW","A2154238","Detached","North Glenmore Park","08/14/2024","$2,475,000.00","$2,400,000.00","1,996","Calgary","2024","13","Gary Heald","CHEALDGA","","Eman Chebli","CCHEBLEM","","CAL Zone W"
"1","S","1016 39 Avenue SW","A2097713","Detached","Elbow Park","08/04/2024","$2,499,000.00","$2,275,000.00","3,202","Calgary","1999","64","Vivienne Huisman","CFEICKVI","","Derek Thistle","CTHISTDE","","CAL Zone CC"
"1","S","6 Timberline Place SW","A2133947","Detached","Springbank Hill","08/28/2024","$2,298,000.00","$2,225,000.00","2,259","Calgary","2014","98","David Pellettier","CPELLEDA","","Steven Slavik","CSLAVIST","","CAL Zone W"
"1","S","600 Princeton Way SW Unit#308","A2084901","Apartment","Eau Claire","08/20/2024","$2,300,000.00","$2,215,000.00","2,806","Calgary","2007","320","Corinne Poffenroth","CPOFFECO","","J.T. Hay","CHAYJT","","CAL Zone CC"
"1","S","1426 4A Street NW","A2137980","Detached","Rosedale","08/29/2024","$2,269,000.00","$2,175,000.00","2,798","Calgary","2024","61","Krista Legue","CLEGUEKR","","Krista Legue","CLEGUEKR","","CAL Zone CC"
"1","S","702 27 Avenue NW","A2124040","Detached","Mount Pleasant","08/27/2024","$2,299,000.00","$2,150,000.00","3,371","Calgary","2021","91","Gemma Festa","CFESTAGE","","Marnie Campbell","CCAMPBMA1","","CAL Zone CC"
"1","S","4024 4 Avenue SW","A2153993","Detached","Wildwood","08/02/2024","$2,099,900.00","$2,099,900.00","3,126","Calgary","2024","2","Hasman Sandhu","CSANDHHA2","","Kait Morris","CMORRIKA2","","CAL Zone W"
"1","S","1820 Bay Shore Road SW","A2144744","Detached","Bayview","08/30/2024","$2,199,000.00","$2,050,000.00","2,957","Calgary","1968","65","Tracey Wood","CWOODTR","","Spencer Stupka","CSTUPKSP","","CAL Zone S"
"1","S","828 Memorial Drive NW Unit#401","A2159279","Apartment","Sunnyside","08/30/2024","$2,199,900.00","$2,000,000.00","2,361","Calgary","2014","0","Joel Semmens","CSEMMEJO","","Joel Semmens","CSEMMEJO","","CAL Zone CC"
