"#","St","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","A2093961","Detached","Lakeview","01/18/2024","$4,999,999.00","$5,200,000.00","4,466","6918 Legare Drive SW","Calgary","2023","56","Vivienne Huisman","CFEICKVI","","Kathy Thirsk","CTHIRSKA","","CAL Zone W"
"1","S","A2103798","Detached","Bel-Aire","01/26/2024","$2,950,000.00","$2,941,000.00","4,316","1004 Beverley Boulevard SW","Calgary","2018","0","Sam Olschewski","COLSCHSA","","Sam Olschewski","COLSCHSA","","CAL Zone CC"
"1","S","A2029389","Detached","Parkhill","01/05/2024","$2,998,000.00","$2,905,000.00","3,220","3616 1A Street SW","Calgary","2023","169","Brian Mahoney","CMAHONBR","","Zahra Jiwa","CJIWAZA","","CAL Zone CC"
"1","S","A2096983","Detached","Hounsfield Heights/Briar Hill","01/22/2024","$2,795,000.00","$2,700,000.00","2,510","1403 20 Street NW","Calgary","2023","41","Joel Semmens","CSEMMEJO","","Rachel Clark","CCLARKRA","","CAL Zone CC"
"1","S","A2097344","Detached","Chinook Park","01/05/2024","$2,595,000.00","$2,480,000.00","3,191","7820 Chardie Road SW","Calgary","2013","21","Jemmie Li","CLIJE","","Josh Nelson","CNELSOJO","","CAL Zone S"
"1","S","A2098829","Detached","Crescent Heights","01/19/2024","$2,590,000.00","$2,465,000.00","3,754","206 2 Avenue NE","Calgary","2010","22","Richard Palibroda","CPALIBRI","","Erich Binner","CBINNEER","","CAL Zone CC"
"1","S","A2099957","Detached","Altadore","01/09/2024","$2,350,000.00","$2,250,000.00","3,333","4607 17 Street SW","Calgary","2017","4","Dennis Plintz","CPLINTDE","CRENEADE","Lawrence Barnett","CBARNELA","","CAL Zone CC"
"1","S","A2103611","Semi Detached (Half Duplex)","Aspen Woods","01/27/2024","$1,998,000.00","$2,000,000.00","1,906","62 Aspen Ridge Square SW","Calgary","2018","1","Anne Clarke-Davidson","CCLARKAN2","","Lisa McLaren","CMCLARLI","","CAL Zone W"
"1","S","A2085418","Detached","Aspen Woods","01/13/2024","$2,180,000.00","$2,000,000.00","3,453","37 Aspen Ridge Heights SW","Calgary","2023","101","Mandeep Basati","CBASATMA","","Chun Yuan Xu","CXUCH","","CAL Zone W"
"1","S","A2087949","Detached","Aspen Woods","01/29/2024","$2,095,000.00","$1,995,000.00","4,701","36 Aspen Ridge Manor SW","Calgary","2013","104","Sam Corea","CCOREASA","","Phil Lepage","CLEPAGPH","","CAL Zone W"
"1","S","A2101305","Detached","Elbow Park","01/26/2024","$2,100,000.00","$1,990,000.00","2,654","1219 Sifton Boulevard SW","Calgary","2004","11","Tanya Eklund","CEKLUNTA","","Ashley McKay","CMCKAYAS","","CAL Zone CC"
"1","S","A2102400","Detached","Springbank Hill","01/30/2024","$1,895,000.00","$1,950,000.00","3,290","48 Spring Willow Terrace SW","Calgary","2007","4","Sam Corea","CCOREASA","","Barbara Siu Jipp","CJIPPBA","","CAL Zone W"
"1","S","A2100161","Detached","University Heights","01/25/2024","$1,950,000.00","$1,900,000.00","2,971","2023 Ursenbach Road NW","Calgary","2013","15","Kevin Thygesen","CTHYGEKE","","Robin Clegg","CCLEGGRO","","CAL Zone NW"
"1","S","A2093798","Detached","Altadore","01/21/2024","$1,850,000.00","$1,845,000.00","3,001","4211 16 Street SW","Calgary","2024","46","Justin Warthe","CWARTHJU","","Simon Kowalkow","CKOWALSI","","CAL Zone CC"
"1","S","A2097429","Detached","Mount Pleasant","01/25/2024","$1,699,900.00","$1,705,000.00","3,349","808 24 Avenue NW","Calgary","2012","45","Ross Aitken","CAITKERO","","Mark Lukwinski","CLUKWIMA","","CAL Zone CC"
"1","S","A2098908","Detached","South Calgary","01/15/2024","$1,749,900.00","$1,700,000.00","3,157","1901 31 Avenue SW","Calgary","2012","13","Mark Lukwinski","CLUKWIMA","","Kelly Miller-Morgan","CMILLEKE1","","CAL Zone CC"
"1","S","A2102068","Detached","Upper Mount Royal","01/17/2024","$1,699,900.00","$1,699,900.00","2,168","1904 13 Street SW","Calgary","2023","0","Tanya Eklund","CEKLUNTA","","Kirsten Gingras","CGINGRKI","CALEXAMA","CAL Zone CC"
"1","S","A2100662","Detached","Upper Mount Royal","01/26/2024","$1,699,900.00","$1,699,900.00","2,165","1902 13 Street SW","Calgary","2023","17","Tanya Eklund","CEKLUNTA","","Geoff Smith","CSMITHGE2","","CAL Zone CC"
"1","S","A2100579","Detached","Pump Hill","01/21/2024","$1,699,000.00","$1,685,000.00","3,517","151 Pumpvalley Court SW","Calgary","1989","13","Sandra Ukrainetz","CUKRAISA","CSAVIGI","Thomas Keeper","CKEEPETH","","CAL Zone S"
"1","S","A2083196","Apartment","Eagle Ridge","01/26/2024","$1,698,000.00","$1,665,000.00","2,046","222 Eagle Ridge Drive SW Unit#4S","Calgary","1967","120","Mark Evernden","CEVERNMA","","Melissa Gallagher","CGALLAME","","CAL Zone S"
"1","S","A2101364","Detached","Mayfair","01/24/2024","$1,598,000.00","$1,650,000.00","2,399","36 Medford Place SW","Calgary","1966","1","Donna Rooney","CROONEDO","CVALENSU","Janet Mericle","CMERICJA","","CAL Zone CC"
"1","S","A2085529","Detached","Springbank Hill","01/12/2024","$1,699,000.00","$1,609,500.00","3,837","6 Spirit Ridge Lane SW","Calgary","2009","99","Nick Penney","CPENNENI","","Johnny Goyetche","CGOYETJO1","","CAL Zone W"
"1","S","A2100379","Detached","Hillhurst","01/22/2024","$1,599,000.00","$1,600,000.00","2,337","1769 8 Avenue NW","Calgary","1996","5","Robin Clegg","CCLEGGRO","CSEMMEJO","Jill Conroy","CCONROJI","","CAL Zone CC"
"1","S","A2065409","Detached","Discovery Ridge","01/22/2024","$1,525,000.00","$1,521,000.00","3,802","72 Discovery Valley Cove SW","Calgary","2005","193","Chris Dingle","CDINGLCH","","Gabi Moraru","CMORARGA","","CAL Zone W"
"1","S","A2096441","Apartment","West Springs","01/20/2024","$1,549,000.00","$1,500,000.00","2,015","8505 Broadcast Avenue SW Unit#804","Calgary","2019","44","Gemma Hobb","CHOBBGE","CHUXLETI","Richard Hartford","CHARTFRI","","CAL Zone W"
