"#","St","Address","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","2915 Wolfe Street SW","A2137629","Detached","Upper Mount Royal","06/24/2024","$5,750,000.00","$5,500,000.00","4,229","Calgary","2015","17","John Hripko","CHRIPKJO","CHRIPKAL","Aly Remtulla","CREMTUAL","","CAL Zone CC"
"1","S","4208 Britannia Drive SW","A2138009","Detached","Britannia","06/16/2024","$4,899,000.00","$4,800,000.00","4,217","Calgary","2014","9","Anne Clarke-Davidson","CCLARKAN2","","Brian Mahoney","CMAHONBR","","CAL Zone CC"
"1","S","4116 Crestview Road SW","A2101564","Detached","Elbow Park","06/08/2024","$4,400,000.00","$4,400,000.00","5,417","Calgary","2021","145","Sam Olschewski","COLSCHSA","","Ryan Jacques","CJACQURY","","CAL Zone CC"
"1","S","840 Memorial Drive NW","A2138550","Detached","Sunnyside","06/11/2024","$3,750,000.00","$3,450,000.00","1,692","Calgary","1914","4","Andrew van Pelt","CVANPEAN","","Andrew van Pelt","CVANPEAN","","CAL Zone CC"
"1","S","2522 Longwood Court SW","A2106448","Detached","Lakeview","06/27/2024","$2,999,999.00","$3,350,000.00","4,907","Calgary","2018","4","Vivienne Huisman","CFEICKVI","","Erich Binner","CBINNEER","","CAL Zone W"
"1","S","1106 Frontenac Avenue SW","A2078340","Detached","Upper Mount Royal","06/13/2024","$3,435,000.00","$3,310,000.00","3,453","Calgary","2018","281","Philip Bamber","CBAMBEPH","","Philip Bamber","CBAMBEPH","","CAL Zone CC"
"1","S","7232 Bow Crescent NW","A2132883","Detached","Bowness","06/11/2024","$3,600,000.00","$3,200,000.00","894","Calgary","1930","25","Ken Richter","CRICHTKE","","Jeremy Tomalin-Reeves","CTOMALJE","","CAL Zone NW"
"1","S","2858 77 Street SW","A2122568","Detached","Springbank Hill","06/16/2024","$3,249,999.00","$3,200,000.00","2,907","Calgary","2022","59","Kyle Dexter","CDEXTEKY","CSTARNRA","Kyle Dexter","CDEXTEKY","","CAL Zone W"
"1","S","2410 Hope Street SW","A2138888","Detached","Upper Mount Royal","06/08/2024","$3,200,000.00","$3,175,000.00","4,331","Calgary","1996","2","Donna Rooney","CROONEDO","CCRONIGA2","Gary Cronin","CCRONIGA2","","CAL Zone CC"
"1","S","1150 9 Street NW","A2135682","Detached","Rosedale","06/05/2024","$2,998,000.00","$3,025,000.00","3,401","Calgary","2013","8","Curtis Atkinson","CATKINCU","","Travis Munroe","CMUNROTR","","CAL Zone CC"
"1","S","4507 4A Street SW","A2118156","Detached","Elboya","06/20/2024","$2,999,000.00","$3,000,000.00","3,781","Calgary","2016","79","Joel Semmens","CSEMMEJO","","Jacqueline Thorogood","CTHOROJA","","CAL Zone CC"
"1","S","3822 11 Street SW","A2140546","Detached","Elbow Park","06/11/2024","$2,950,000.00","$2,845,000.00","3,560","Calgary","2008","0","Lamise Kochorek","CKOCHOLA","","Luke Nichols","CNICHOLU","CPOFFECO","CAL Zone CC"
"1","S","2263 Longridge Drive SW","A2137174","Detached","North Glenmore Park","06/27/2024","$2,650,000.00","$2,650,000.00","3,328","Calgary","2024","23","Daniel Weiner","CWEINEDA","","Daniel Weiner","CWEINEDA","","CAL Zone W"
"1","S","59 Auburn Sound Point SE","A2137263","Detached","Auburn Bay","06/20/2024","$2,690,000.00","$2,600,000.00","3,807","Calgary","2016","20","Chris Jamieson","CJAMIECH","CPEARCJO","Ryan MacDonald","CMACDORY","","CAL Zone SE"
"1","S","2615 8 Street SW","A2135641","Detached","Upper Mount Royal","06/21/2024","$2,495,000.00","$2,520,000.00","2,397","Calgary","2004","7","Sandy Bisson","CBISSOSA","","Mark Evernden","CEVERNMA","","CAL Zone CC"
"1","S","18 Varcrest Place NW","A2137937","Detached","Varsity","06/20/2024","$2,400,000.00","$2,360,000.00","3,447","Calgary","1968","13","Gulraj Sidhu","CSIDHUGU5","","Michael Wood","CWOODMI","","CAL Zone NW"
"1","S","4508 4A Street SW","A2121744","Detached","Elboya","06/23/2024","$2,398,000.00","$2,350,000.00","2,873","Calgary","1998","73","Tanya Eklund","CEKLUNTA","","Pablo Oseguera Christlieb","COSEGUPA","CHAVREJU","CAL Zone CC"
"1","S","3617 5 Street SW","A2102914","Detached","Elbow Park","06/06/2024","$2,398,000.00","$2,350,000.00","3,273","Calgary","1912","133","Anne Clarke-Davidson","CCLARKAN2","","Anne Clarke-Davidson","CCLARKAN2","","CAL Zone CC"
"1","S","11 Aspen Ridge Gate SW","A2138072","Detached","Aspen Woods","06/27/2024","$2,388,000.00","$2,300,000.00","4,384","Calgary","2006","19","Mark Evernden","CEVERNMA","","Sam Geram-Fard","CGERAMSA","","CAL Zone W"
"1","S","69 Sunset Way SE","A2137175","Detached","Sundance","06/13/2024","$2,349,900.00","$2,300,000.00","3,901","Calgary","1989","10","Chase Olsen","COLSENCH","","Brady Layton","CLAYTOBR","","CAL Zone S"
"1","S","227 2 Avenue NE","A2129754","Detached","Crescent Heights","06/07/2024","$2,350,000.00","$2,275,000.00","3,037","Calgary","2006","29","Joel Semmens","CSEMMEJO","","Eric Palin","CPALINER","","CAL Zone CC"
"1","S","208 Aspen Summit Bay SW","A2129892","Detached","Aspen Woods","06/01/2024","$2,400,000.00","$2,262,000.00","3,903","Calgary","2014","9","Elise Crowe","CCROWEEL","","Mark Evernden","CEVERNMA","","CAL Zone W"
