"#","St","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","A2106374","Detached","Britannia","03/08/2024","$4,290,000.00","$4,250,000.00","4,597","4324 Britannia Drive SW","Calgary","2012","7","Vivienne Huisman","CFEICKVI","","Joel Semmens","CSEMMEJO","","CAL Zone CC"
"1","S","A2100441","Detached","Scarboro/Sunalta West","03/24/2024","$3,350,000.00","$3,300,000.00","3,542","1436 23 Street SW","Calgary","2020","66","Catherine Chow","CCHOWCA","","Karen Luu","CLUUKA","","CAL Zone CC"
"1","S","A2109457","Detached","McKenzie Lake","03/11/2024","$2,590,000.00","$2,475,000.00","3,101","33 Mckenzie Lake Point SE","Calgary","1989","17","Amanda Zayonce","CZAYONAM","","Candace Stanick","CSTANICA","","CAL Zone SE"
"1","S","A2110426","Detached","Elbow Park","03/02/2024","$1,988,800.00","$2,313,000.00","2,646","1402 34 Avenue SW","Calgary","1952","1","Richard Lobsinger","CLOBSIRI","","Rebecca Yarmoloy","CMORGARE","","CAL Zone CC"
"1","S","A2108516","Detached","Mayfair","03/08/2024","$2,395,000.00","$2,300,000.00","3,582","24 Massey Place SW","Calgary","1960","15","Matt Williams","CWILLIMA3","","Tammy Moores","CMOORETA","","CAL Zone CC"
"1","S","A2103825","Detached","West Hillhurst","03/06/2024","$2,289,900.00","$2,262,500.00","3,056","2224 4 Avenue NW","Calgary","2024","39","Tony Irshad","CIRSHAAB","","Deven Folkins","CFOLKIDE","","CAL Zone CC"
"1","S","A2109037","Detached","Elbow Park","03/13/2024","$2,349,900.00","$2,200,000.00","2,447","329 Elbow Park Lane SW","Calgary","1914","21","Tanya Eklund","CEKLUNTA","","Lisa Atkins","CATKINLI","","CAL Zone CC"
"1","S","A2108610","Detached","Bel-Aire","03/09/2024","$2,200,000.00","$2,150,000.00","2,722","1424 Beverley Place SW","Calgary","1965","15","Kari-Ann MacDougall","cmacdoka3","CKINGEA","Tanya Eklund","CEKLUNTA","","CAL Zone CC"
"1","S","A2115119","Detached","Lakeview","03/29/2024","$2,189,000.00","$2,120,000.00","2,121","3531 Lakeside Crescent SW","Calgary","2022","14","Carmelle Smutko","CSMUTKCA","","Tanya Eklund","CEKLUNTA","","CAL Zone W"
"1","S","A2109721","Detached","Varsity","03/19/2024","$2,500,000.00","$2,100,000.00","2,241","4544 Varsity Green NW","Calgary","1972","21","Kirby Cox","CCOXKI","","Brad Thomson","CTHOMSBR","","CAL Zone NW"
"1","S","A2106869","Detached","North Glenmore Park","03/08/2024","$1,999,900.00","$2,030,000.00","2,732","52 Langton Drive SW","Calgary","2013","28","Tanya Eklund","CEKLUNTA","","Sherwin Brierton","CBRIERSH","","CAL Zone W"
"1","S","A2109076","Detached","Renfrew","03/02/2024","$2,150,000.00","$2,000,000.00","3,586","215 13 Street NE","Calgary","2017","11","Robert Williams","CWILLIRO7","","Jim Huynh","CHUYNHHA","","CAL Zone CC"
"1","S","A2103206","Detached","Patterson","03/21/2024","$2,000,000.00","$2,000,000.00","3,784","458 Patterson Boulevard SW","Calgary","2019","13","Michael Newton","CNEWTOMI","","Reza Golshani Saket","CGOLSHRE","","CAL Zone W"
"1","S","A2097875","Detached","Aspen Woods","03/28/2024","$2,095,000.00","$2,000,000.00","3,580","34 ASPEN RIDGE Park SW","Calgary","2017","104","Ross Pavl","CPAVLYRO","","Mark Evernden","CEVERNMA","","CAL Zone W"
"1","S","A2046903","Detached","Springbank Hill","03/01/2024","$1,994,000.00","$1,950,000.00","4,425","12 Spring Willow Place SW","Calgary","2006","291","Debbie Ferguson","CFERGUDE1","","Kristen Edmunds","CEDMUNKR","","CAL Zone W"
"1","S","A2097544","Detached","Currie Barracks","03/26/2024","$1,949,000.00","$1,945,000.00","2,430","78 Valour Circle SW","Calgary","2024","99","Philip Bamber","CBAMBEPH","","Heather Waddell","CWADDEHE","","CAL Zone W"
"1","S","A2103659","Apartment","Eau Claire","03/09/2024","$1,999,900.00","$1,940,000.00","2,108","690 Princeton Way SW Unit#803","Calgary","2001","37","Michael Ferianec","CFERIAMI","CMCKERFR","Mike Stante","CSTANTMI","","CAL Zone CC"
"1","S","A2101544","Detached","Upper Mount Royal","03/24/2024","$2,098,000.00","$1,935,000.00","2,618","1429 Premier Way SW","Calgary","1999","64","Mary-Lou McCormick","CMCCORMA1","","Matt Williams","CWILLIMA3","","CAL Zone CC"
"1","S","A2116525","Detached","St Andrews Heights","03/29/2024","$1,849,000.00","$1,900,000.00","2,026","2804 Toronto Crescent NW","Calgary","1956","8","Robin Clegg","CCLEGGRO","CSEMMEJO","Robin Clegg","CCLEGGRO","","CAL Zone CC"
"1","S","A2115464","Detached","Aspen Woods","03/21/2024","$1,865,000.00","$1,889,000.00","3,428","30 Aspen Dale Court SW","Calgary","2011","3","David Pellettier","CPELLEDA","","Kyle Dexter","CDEXTEKY","CSTARNRA","CAL Zone W"
"1","S","A2111922","Detached","Altadore","03/14/2024","$1,809,000.00","$1,809,000.00","2,621","2019 44 Avenue SW","Calgary","2016","8","Craig Harding","CHARDIDA1","","Nick Profeta","CPROFENI","CMAHAL","CAL Zone CC"
"1","S","A2110270","Detached","Discovery Ridge","03/06/2024","$1,799,900.00","$1,800,000.00","2,891","21 Discovery Rise SW","Calgary","2001","5","Chris Zaharko","CZAHARCH","","David Pellettier","CPELLEDA","","CAL Zone W"
"1","S","A2106619","Detached","Aspen Woods","03/08/2024","$1,699,800.00","$1,795,000.00","3,450","260 Aspen Meadows Place SW","Calgary","2003","8","Brian Currey","CCURREBR","","Jonathan Ashkin","CASHKIJO","CSREMADU","CAL Zone W"
"1","S","A2102222","Detached","St Andrews Heights","03/14/2024","$1,850,000.00","$1,785,000.00","2,882","2808 11 Avenue NW","Calgary","2008","56","John Norrie","CNORRIJO","","Richard Palibroda","CPALIBRI","","CAL Zone CC"
"1","S","A2111521","Detached","McKenzie Lake","03/22/2024","$1,798,888.00","$1,777,777.00","2,022","101 Mt Douglas Circle SE","Calgary","1999","21","Mike Ouellette","COUELLMI","","Mike Ouellette","COUELLMI","","CAL Zone SE"
"1","S","A2090599","Detached","Currie Barracks","03/21/2024","$1,850,000.00","$1,760,000.00","3,601","21 Trasimeno Crescent SW","Calgary","2019","141","Alicja Rudolf","CRUDOLAL","","Chris Zaharko","CZAHARCH","","CAL Zone W"
"1","S","A2116815","Detached","Parkdale","03/27/2024","$1,699,900.00","$1,750,000.00","2,934","3626 8 Avenue NW","Calgary","2013","5","Tanya Eklund","CEKLUNTA","","Beth MacInnis","CMACINBE","","CAL Zone CC"
"1","S","A2101241","Detached","Parkdale","03/19/2024","$1,885,000.00","$1,750,000.00","2,615","139 35 Street NW","Calgary","2016","66","Robert Vanovermeire","CVANOVRO","","Perry Kool","CKOOLPE","","CAL Zone CC"
"1","S","A2100414","Detached","Cougar Ridge","03/08/2024","$1,899,999.00","$1,750,000.00","4,344","102 Cougar Ridge View SW","Calgary","2001","23","Andrew Pohlod","CPOHLOD","CNICHORE","Kathy Thirsk","CTHIRSKA","","CAL Zone W"
"1","S","A2110841","Detached","Altadore","03/08/2024","$1,749,900.00","$1,749,900.00","2,442","1915 49 Avenue SW","Calgary","2020","9","Tanya Eklund","CEKLUNTA","","Amy Brooks","CBROOKAM","CBROOKEM","CAL Zone CC"
"1","S","A2100239","Detached","Glendale","03/11/2024","$1,799,000.00","$1,742,500.00","3,247","4 Kelwood Place SW","Calgary","2023","60","Sheraz Anwar","CANWARSH1","","Catherine Chow","CCHOWCA","","CAL Zone W"
"1","S","A2104574","Detached","Aspen Woods","03/17/2024","$1,745,000.00","$1,725,000.00","3,134","37 Aspen Ridge Way SW","Calgary","2003","32","Phil Lepage","CLEPAGPH","","Steven Bradford","CBRADFST1","","CAL Zone W"
"1","S","A2107543","Detached","Lakeview","03/19/2024","$1,799,000.00","$1,722,500.00","2,728","3148 Linden Drive SW","Calgary","1968","33","Ron Garneau","CGARNERO1","CHOSPEPA","Zach Terlier","CTERLIZA","","CAL Zone W"
"1","S","A2107115","Detached","Collingwood","03/22/2024","$1,775,000.00","$1,715,000.00","2,564","77 Carmangay Crescent NW","Calgary","2017","22","Justin Havre","CHAVREJU","CBOYERJO","Enzo DiPietro","CDIPIEEN","","CAL Zone NW"
"1","S","A2087329","Detached","North Glenmore Park","03/28/2024","$1,799,000.00","$1,700,000.00","2,072","5715 19 Street SW","Calgary","1987","7","Neira Makin","CKAHVINE","","Jim Henheffer","CHENHEJI","","CAL Zone W"
"1","S","A2113309","Detached","Altadore","03/09/2024","$1,500,000.00","$1,630,000.00","1,886","4928 21 Street SW","Calgary","1956","1","Nathan Luu","CLUUNA","","Tanya Eklund","CEKLUNTA","","CAL Zone CC"
"1","S","A2106349","Detached","Lake Bonavista","03/08/2024","$1,699,900.00","$1,625,000.00","3,283","978 Lake Placid Drive SE","Calgary","1976","16","Bowen Fric","CFRICBO","","Dino Pezzente","CPEZZEDI","","CAL Zone S"
"1","S","A2099401","Detached","Bridgeland/Riverside","03/05/2024","$1,750,000.00","$1,625,000.00","2,617","504 9A Street NE","Calgary","2023","62","Jerry Thai","CTHAIJE","","Jake McIntyre","CMCINTJA1","","CAL Zone CC"
"1","S","A2102859","Apartment","Chinatown","03/15/2024","$1,650,000.00","$1,615,000.00","1,865","88 Waterfront Mews SW Unit#302","Calgary","2019","49","Kim Stubbs","CSTUBBSKI","CHUXLETI","Cindy Skrukwa","CSKRUKCI","","CAL Zone CC"
"1","S","A2100683","Detached","Collingwood","03/08/2024","$1,650,000.00","$1,600,000.00","2,400","1504 Cavanaugh Place NW","Calgary","1962","56","Leo Scarcelli","CSCARCLE","","Steven Wong","CWONGST2","","CAL Zone NW"
