"#","St","Address","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","4244 Britannia Drive SW","A2130278","Detached","Britannia","05/22/2024","$3,695,000.00","$3,500,000.00","3,814","Calgary","2012","12","Len T. Wong","CWONGLE3","","Mathew Said Morley","CMORLEMA","","CAL Zone CC"
"1","S","125 Aspen Ridge Heights SW","A2110835","Detached","Aspen Woods","05/23/2024","$3,295,000.00","$3,150,000.00","4,744","Calgary","2016","82","Ross Pavl","CPAVLYRO","","Jonathan Salois","CSALOIJO","","CAL Zone W"
"1","S","1010 39 Avenue SW","A2110752","Detached","Elbow Park","05/24/2024","$3,250,000.00","$3,050,000.00","4,267","Calgary","2004","85","Donna Rooney","CROONEDO","CCRONIGA2","Lisa Atkins","CATKINLI","","CAL Zone CC"
"1","S","169 Chapala Point SE","A2124182","Detached","Chaparral","05/14/2024","$3,250,000.00","$2,955,000.00","4,517","Calgary","2008","26","Travis Copp","CCOPPTR","","Kathy Thirsk","CTHIRSKA","","CAL Zone S"
"1","S","12236 Lake Erie Way SE","A2123992","Detached","Lake Bonavista","05/10/2024","$2,798,000.00","$2,900,000.00","3,976","Calgary","1971","1","Corinne Poffenroth","CPOFFECO","CNICHOLU","Geoff Smith","CSMITHGE2","","CAL Zone S"
"1","S","5848 Bow Crescent NW","A2083549","Detached","Bowness","05/08/2024","$2,900,000.00","$2,885,888.00","4,231","Calgary","2017","219","Kevin Thygesen","CTHYGEKE","","Jonathan Pendlebury","CPENDLJO","CMARTIAN2","CAL Zone NW"
"1","S","418 10 Avenue NW","A2133204","Detached","Crescent Heights","05/28/2024","$2,895,000.00","$2,850,000.00","3,367","Calgary","2010","10","Richard Palibroda","CPALIBRI","","Andrea Wilton-Clark","CWILTOAN","","CAL Zone CC"
"1","S","2758 85 Street SW","A2116287","Detached","Springbank Hill","05/20/2024","$2,925,000.00","$2,700,000.00","1,960","Calgary","1974","55","Mark Evernden","CEVERNMA","","Mandeep Dhillon","CDHILLMA4","","CAL Zone W"
"1","S","4603 16A Street SW","A2134451","Detached","Altadore","05/26/2024","$2,435,000.00","$2,630,000.00","3,699","Calgary","2016","2","Dennis Plintz","CPLINTDE","CRENEADE","Clare Pett","CPETTCL","","CAL Zone CC"
"1","S","9 Timberline Way SW","A2122097","Detached","Springbank Hill","05/06/2024","$2,625,000.00","$2,525,000.00","2,360","Calgary","2018","19","Rachelle Starnes","CSTARNRA","CTAGGANI","Donna Delaney","CDELANDO","","CAL Zone W"
"1","S","1230 Lansdowne Avenue SW","A2128245","Detached","Elbow Park","05/02/2024","$2,500,000.00","$2,475,000.00","3,008","Calgary","1960","0","Donna Rooney","CROONEDO","CCRONIGA2","Gary Cronin","CCRONIGA2","","CAL Zone CC"
"1","S","2003 43 Avenue SW","A2133111","Detached","Altadore","05/23/2024","$2,200,000.00","$2,450,000.00","3,763","Calgary","2012","6","Tanya Eklund","CEKLUNTA","","Lana Bedard","CBEDARLA","","CAL Zone CC"
"1","S","8947 Bay Ridge Drive SW","A2127034","Detached","Bayview","05/06/2024","$2,399,000.00","$2,440,000.00","2,965","Calgary","1969","4","Shawn Kennedy","CKENNESH","","Tanya Eklund","CEKLUNTA","","CAL Zone S"
"1","S","48 18 Street NW","A2102530","Detached","Hillhurst","05/24/2024","$2,500,000.00","$2,400,000.00","3,689","Calgary","2024","125","Lisa Johnson","CJOHNSLI1","","Gary Cronin","CCRONIGA2","","CAL Zone CC"
"1","S","4519 Coronation Drive SW","A2130952","Detached","Britannia","05/15/2024","$2,375,000.00","$2,300,000.00","2,215","Calgary","1956","5","Sherry Heinrich","CHEINRSH","","Gary Cronin","CCRONIGA2","","CAL Zone CC"
"1","S","1307 23 Street NW","A2132789","Detached","Hounsfield Heights/Briar Hill","05/23/2024","$2,250,000.00","$2,265,000.00","3,045","Calgary","2023","6","Eric Jensen","CJENSEER1","","Brett Sowinski","CSOWINBR","","CAL Zone CC"
