"#","St","Address","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","44 Aspen Ridge Heights SW","A2107630","Detached","Aspen Woods","12/20/2024","$7,900,000.00","$7,525,000.00","9,579","Calgary","2010","295","Corinne Poffenroth","CPOFFECO","","Goitom Ghebrezghi","CGHEBRGO","","CAL Zone W"
"1","S","1415 Beverley Place SW","A2162937","Detached","Bel-Aire","12/19/2024","$5,100,000.00","$4,875,000.00","4,365","Calgary","2015","101","Katherine Bennett","CBENNEKA","","Andy Assad","CASSADAN","CCHHABSA","CAL Zone CC"
"1","S","819 Lake Placid Drive SE","A2155449","Detached","Lake Bonavista","12/18/2024","$4,450,000.00","$4,175,000.00","4,757","Calgary","1974","127","Jamie Newton","CNEWTOJA","","Jamie Newton","CNEWTOJA","","CAL Zone S"
"1","S","40 Aspen Ridge Terrace SW","A2178839","Detached","Aspen Woods","12/06/2024","$3,695,000.00","$3,490,000.00","5,042","Calgary","2020","23","Ross Pavl","CPAVLYRO","","Phil Lepage","CLEPAGPH","","CAL Zone W"
"1","S","1312 22 Street NW","A2151520","Detached","Hounsfield Heights/Briar Hill","12/16/2024","$2,749,900.00","$2,725,000.00","3,643","Calgary","2024","145","Joel Semmens","CSEMMEJO","","Cassandra Sokoloski","CSOKOLCA","CAHADZAM","CAL Zone CC"
"1","S","524 Crescent Road NW","A2177760","Detached","Rosedale","12/20/2024","$2,799,900.00","$2,650,000.00","2,721","Calgary","2003","44","Joel Semmens","CSEMMEJO","","Non Board Member","CNONMEMB","","CAL Zone CC"
"1","S","1055 Kerfoot Crescent SW","A2173420","Detached","Kelvin Grove","12/24/2024","$2,750,000.00","$2,625,000.00","2,558","Calgary","2024","25","Daniel Weiner","CWEINEDA","","Daniel Weiner","CWEINEDA","","CAL Zone S"
"1","S","2919 12 Avenue NW","A2181048","Detached","St Andrews Heights","12/09/2024","$2,799,000.00","$2,620,000.00","3,593","Calgary","2024","13","Michael Freiter","CFREITMI","","Colin Kehler","CKEHLECO","","CAL Zone CC"
"1","S","71 Auburn Sound Cove SE","A2178953","Detached","Auburn Bay","12/12/2024","$2,550,000.00","$2,500,000.00","3,398","Calgary","2010","24","Ruth Alexander","CALEXAMA","","Ruth Alexander","CALEXAMA","","CAL Zone SE"
"1","S","116 Malibou Road SW","A2176629","Detached","Mayfair","12/08/2024","$2,599,900.00","$2,420,000.00","2,800","Calgary","2024","37","Tanya Eklund","CEKLUNTA","","Sam Patel","CPATELSA1","","CAL Zone CC"
