"#","St","Address","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","423 Lake Placid Green SE","A2149693","Detached","Lake Bonavista","07/23/2024","$3,700,000.00","$3,700,000.00","3,035","Calgary","2002","4","Jamie Newton","CNEWTOJA","","Lana Bedard","CBEDARLA","","CAL Zone S"
"1","S","19 Elveden Place SW","A2126878","Detached","Springbank Hill","07/16/2024","$3,700,000.00","$3,500,000.00","8,040","Calgary","2011","77","Alex Briones","CBRIONAL","","Patrick Okose","COKOSUPA","","CAL Zone W"
"1","S","419 Lake Placid Green SE","A2137467","Detached","Lake Bonavista","07/14/2024","$3,950,000.00","$3,450,000.00","3,168","Calgary","2003","40","Kyle Friesen","CFRIESKY","","Cloe Behrman","CBEHRMCL","","CAL Zone S"
"1","S","1122 Valois Avenue SW","A2128745","Detached","Upper Mount Royal","07/31/2024","$3,499,000.00","$3,450,000.00","4,205","Calgary","2013","80","Jeff Neustaedter","CNEUSTJE","","Non Board Member","CNONMEMB","","CAL Zone CC"
"1","S","2904 Toronto Crescent NW","A2118125","Detached","St Andrews Heights","07/18/2024","$3,295,000.00","$3,250,000.00","3,406","Calgary","2017","107","Joel Semmens","CSEMMEJO","","Joel Semmens","CSEMMEJO","","CAL Zone CC"
"1","S","827 Prospect Avenue SW","A2142503","Detached","Upper Mount Royal","07/15/2024","$3,400,000.00","$3,150,000.00","3,239","Calgary","1928","24","Dennis Plintz","CPLINTDE","CRENEADE","Tania Grassi","CATKINTA","","CAL Zone CC"
"1","S","130 226 Avenue S","A2143111","Detached","NONE","07/16/2024","$3,300,000.00","$3,100,000.00","2,358","Calgary","2005","26","Sheryl Lauinger","CLAUINSH","","Sam Shenouda","CSHENOBA","",""
"1","S","1001 70 Avenue SW","A2149241","Detached","Kelvin Grove","07/31/2024","$2,960,000.00","$3,000,000.00","3,280","Calgary","1956","13","Renata M. Reid","CREIDREN","","Rob Stang","CSTANGRO","","CAL Zone S"
"1","S","414 Crescent Road NW","A2149036","Detached","Crescent Heights","07/16/2024","$2,800,000.00","$2,825,000.00","1,867","Calgary","1930","4","Joel Semmens","CSEMMEJO","","Joel Semmens","CSEMMEJO","","CAL Zone CC"
"1","S","135 Eagle Ridge Drive SW","A2015390","Detached","Eagle Ridge","07/12/2024","$2,899,950.00","$2,725,000.00","4,590","Calgary","2000","536","Paul Ackerman","CACKERPA","","Colin Woo","CWOOCO","","CAL Zone S"
"1","S","3908 1A Street SW","A2145388","Detached","Parkhill","07/11/2024","$2,799,900.00","$2,661,825.55","2,358","Calgary","1996","13","Donna Rooney","CROONEDO","CCRONIGA2","Joy Peacock","CCRAWFJO2","","CAL Zone CC"
"1","S","8505 Broadcast Avenue SW Unit#802","A2143813","Apartment","West Springs","07/05/2024","$2,599,999.00","$2,500,000.00","3,238","Calgary","2020","12","Kyle Dexter","CDEXTEKY","CSTARNRA","Sharon Shore","CSHORESH","","CAL Zone W"
"1","S","2711 7 Avenue NW","A2147335","Detached","West Hillhurst","07/11/2024","$2,399,995.00","$2,425,500.00","2,992","Calgary","2020","6","Christopher Henry","CHENRYCH","","Krista Legue","CLEGUEKR","","CAL Zone CC"
"1","S","532 Lake Moraine Green SE","A2143960","Detached","Lake Bonavista","07/08/2024","$2,595,000.00","$2,350,000.00","3,357","Calgary","1972","14","Jamie Newton","CNEWTOJA","","Brittany Zimmerman","CZIMMEBR","","CAL Zone S"
"1","S","921 Riverdale Avenue SW","A2142465","Detached","Elbow Park","07/04/2024","$2,295,000.00","$2,240,000.00","3,096","Calgary","1997","13","Gordon  Ross","CROSSGO1","","Josh Hamilton","CHAMILJO","","CAL Zone CC"
"1","S","56 Lissington Drive SW","A2146164","Detached","North Glenmore Park","07/26/2024","$2,300,000.00","$2,190,000.00","1,959","Calgary","2024","22","Jonida Halili","CHALILJO","CGOZALPR","Andrea Wilton-Clark","CWILTOAN","","CAL Zone W"
"1","S","419 Patterson Boulevard SW","A2145334","Detached","Patterson","07/12/2024","$2,150,000.00","$2,125,000.00","5,196","Calgary","2024","14","Ramza Gebran","CGEBRARA","","Guriqbal Chahal","CCHAHAGU","","CAL Zone W"
"1","S","4019 16A Street SW","A2132254","Detached","Altadore","07/29/2024","$2,199,900.00","$2,115,000.00","2,584","Calgary","2016","17","Mike Dreger","CDREGEMI","CHEINBDO","Karen Fawcett","CFAWCEKA","","CAL Zone CC"
"1","S","1904 Salisbury Street SE","A2144829","Detached","Ramsay","07/18/2024","$1,999,900.00","$2,090,000.00","2,780","Calgary","2015","21","Emily Sudermann","CBROOKEM","CBROOKAM","Alicja Rudolf","CRUDOLAL","","CAL Zone CC"
"1","S","1702 25 Street SW","A2149775","Detached","Shaganappi","07/24/2024","$1,999,000.00","$2,035,000.00","2,904","Calgary","2006","6","Erich Binner","CBINNEER","","Michael Montgomery","CMONTGMI","","CAL Zone CC"
"1","S","400 Eau Claire Avenue SW Unit#8802","A2130086","Apartment","Eau Claire","07/23/2024","$2,100,000.00","$2,025,000.00","2,639","Calgary","1995","53","Anne Clarke-Davidson","CCLARKAN2","","Jeremy Smith","CSMITHJ2","","CAL Zone CC"
"1","S","60 Discovery Valley Cove SW","A2137156","Detached","Discovery Ridge","07/11/2024","$2,195,000.00","$2,000,000.00","2,346","Calgary","2005","35","Mathew Said Morley","CMORLEMA","","Jennifer Rekrutiak","CREKRUJE","","CAL Zone W"
"1","S","2225 4 Avenue NW","A2141688","Detached","West Hillhurst","07/12/2024","$1,999,900.00","$1,999,900.00","3,389","Calgary","2003","25","Jon Dick","CDICKJO","","Patrick Murray","CMURRAPA","","CAL Zone CC"
"1","S","4232 5 Avenue SW","A2150908","Detached","Wildwood","07/26/2024","$1,999,000.00","$1,999,000.00","2,981","Calgary","2024","7","Paul Dhanjal","CDHANJHA","","Kathy Thirsk","CTHIRSKA","","CAL Zone W"
"1","S","906 Royal Avenue SW","A2145445","Row/Townhouse","Lower Mount Royal","07/17/2024","$1,950,000.00","$1,950,000.00","3,502","Calgary","2014","15","Scott Watson","CWATSOSC","","Akbar Nimji","CNIMJIAK","","CAL Zone CC"
