"#","St","Address","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","811 Lake Placid Drive SE","A2175782","Detached","Lake Bonavista","11/14/2024","$3,450,000.00","$3,125,000.00","2,811","Calgary","1974","17","Ella Kuindersma","CKUINDLA","","Tamara Aboultaif","CABOULSA","","CAL Zone S"
"1","S","627 Willow Brook Drive SE","A2127825","Detached","Willow Park","11/22/2024","$2,599,900.00","$2,500,000.00","3,194","Calgary","1965","203","Kevin Haller","CHALLEKE","","Kevin Haller","CHALLEKE","","CAL Zone S"
"1","S","554 Marine Drive SE","A2163110","Detached","Mahogany","11/04/2024","$2,550,000.00","$2,470,000.00","4,015","Calgary","2022","59","Tanya Eklund","CEKLUNTA","","Waleed Idriess","CIDRIEWA","","CAL Zone SE"
"1","S","1743 47 Avenue SW","A2172906","Detached","Altadore","11/18/2024","$2,549,000.00","$2,417,500.00","3,381","Calgary","2009","35","Ben Taillefer","CTAILLBE","","Stephanie Begin","CBEGINST","","CAL Zone CC"
"1","S","1416 21A Street NW","A2162142","Detached","Hounsfield Heights/Briar Hill","11/06/2024","$2,495,000.00","$2,399,000.00","3,818","Calgary","2012","64","Keith Davey","CDAVEYKE","","Jason Streich","CSTREIJA","","CAL Zone CC"
"1","S","468 Auburn Shores Landing SE","A2175904","Detached","Auburn Bay","11/09/2024","$2,399,999.00","$2,390,000.00","2,113","Calgary","2015","11","Julie Dempsey","CDEMPSJU","","Nathan Leech","CLEECHNA","","CAL Zone SE"
"1","S","3112 Linden Drive SW","A2175998","Detached","Lakeview","11/09/2024","$2,095,000.00","$2,175,000.00","2,362","Calgary","1966","1","Matt Williams","CWILLIMA3","","Gordyn Matheson","CMATHEGO1","","CAL Zone W"
"1","S","32 Aspen Ridge Manor SW","A2171882","Detached","Aspen Woods","11/13/2024","$2,349,000.00","$2,125,000.00","4,279","Calgary","2012","35","Amit Gupta","cguptaam1","","Justin Warthe","CWARTHJU","","CAL Zone W"
"1","S","312 Elveden Court SW","A2173393","Semi Detached (Half Duplex)","Springbank Hill","11/25/2024","$2,100,000.00","$2,100,000.00","1,968","Calgary","2025","38","Barb Richardson","CRICHABA","CBAKERCH","Robert Jansons","CJANSORO","","CAL Zone W"
"1","S","59 Wentwillow Lane SW","A2165604","Detached","West Springs","11/25/2024","$2,000,000.00","$1,980,000.00","2,440","Calgary","2005","65","Justin Warthe","CWARTHJU","","Jessica Chan","CCHANJE1","CZHONGXI","CAL Zone W"
"1","S","2507 19 Street SW","A2172278","Detached","Bankview","11/06/2024","$1,999,900.00","$1,975,000.00","3,609","Calgary","2016","27","Tanya Eklund","CEKLUNTA","","Gordon  Ross","CROSSGO1","","CAL Zone CC"
"1","S","2340 7 Avenue NW","A2150991","Detached","West Hillhurst","11/30/2024","$1,899,000.00","$1,879,000.00","3,861","Calgary","2005","134","Verdeep Ubhi","CUBHIVE","","Cam Sterns","CSTERNCA","","CAL Zone CC"
"1","S","74 Patterson Close SW","A2170994","Detached","Patterson","11/06/2024","$1,950,000.00","$1,857,500.00","4,148","Calgary","1997","19","Ben Battistessa","CBATTIBE","","Saju Varghese","CVARGHSA","","CAL Zone W"
"1","S","275 Dalhurst Way NW","A2171929","Detached","Dalhousie","11/03/2024","$1,999,999.00","$1,850,000.00","4,272","Calgary","2018","23","Rupinder Deol","CDEOLRU","","Rupinder Deol","CDEOLRU","","CAL Zone NW"
"1","S","2135 Vimy Way SW","A2171056","Detached","Garrison Woods","11/05/2024","$1,698,000.00","$1,800,000.00","2,616","Calgary","2000","15","Mark Evernden","CEVERNMA","","Mark Evernden","CEVERNMA","","CAL Zone CC"
"1","S","511 Wilderness Drive SE","A2160942","Detached","Willow Park","11/14/2024","$1,880,000.00","$1,800,000.00","2,705","Calgary","1969","59","Amir Halilovic","CHALILAM","","Kyle Winter","CWINTEKY","","CAL Zone S"
"1","S","440 Wilverside Way SE","A2160993","Detached","Willow Park","11/01/2024","$1,799,000.00","$1,775,000.00","2,081","Calgary","1969","65","Tay Olson","COLSONTA","","Angelo Colombo","CCOLOMAN","","CAL Zone S"
"1","S","311 Elveden Court SW","A2173392","Semi Detached (Half Duplex)","Springbank Hill","11/04/2024","$1,750,000.00","$1,750,000.00","1,765","Calgary","2024","17","Kym Barton","CBARTOKY","CBAKERCH","Joanna Barstad","CBARSTJO","","CAL Zone W"
"1","S","220 18A Street NW","A2177318","Detached","West Hillhurst","11/27/2024","$1,775,000.00","$1,732,500.00","2,861","Calgary","2007","22","Doug McNaughton","CMCNAUDO","CPENLESU","Andy Jackson","CJACKSAN1","","CAL Zone CC"
"1","S","521 18A Street NW","A2165745","Detached","West Hillhurst","11/29/2024","$1,775,000.00","$1,712,500.00","3,773","Calgary","2022","72","Lucas Ramage","CRAMAGLU","CPIDDELE","Shannon Macleod","CMACLESH2","","CAL Zone CC"
"1","S","1934 47 Avenue SW","A2167176","Detached","Altadore","11/22/2024","$1,749,999.00","$1,703,000.00","2,520","Calgary","2005","64","Gordyn Matheson","CMATHEGO1","","Niloofar Saeidpour","CSAEIDNI","CAUDETCH","CAL Zone CC"
"1","S","24 Ascot Place SW","A2164898","Detached","Aspen Woods","11/20/2024","$1,688,000.00","$1,683,000.00","2,940","Calgary","2011","69","Kristine Hart","CHARTKR","","Phil Lepage","CLEPAGPH","","CAL Zone W"
"1","S","1102 Levis Avenue SW","A2164794","Detached","Upper Mount Royal","11/08/2024","$1,699,900.00","$1,675,000.00","3,032","Calgary","1949","21","David Luu","CLUUDA","CMANARJA","Megan McFadden","CMCFADME","","CAL Zone CC"
"1","S","27 Lake Bonaventure Place SE","A2174985","Detached","Lake Bonavista","11/01/2024","$1,690,000.00","$1,645,000.00","1,978","Calgary","1977","8","Tamara Stearns","CPILIPTA","","Krista Brown","CIBBOTKR","","CAL Zone S"
"1","S","292 Masters Cove SE","A2171506","Detached","Mahogany","11/12/2024","$1,699,999.00","$1,630,000.00","3,109","Calgary","2016","32","Jemmie Li","CLIJE","","Parth Patel","CPATELPA1","","CAL Zone SE"
"1","S","4604 15 Street SW","A2175641","Detached","Altadore","11/06/2024","$1,550,000.00","$1,600,000.00","1,532","Calgary","1957","6","Joseph Buggie","CBUGGIJO","CSTEWALA","Ben Knopp","CKNOPPBE","","CAL Zone CC"
"1","S","2031 5 Avenue NW","A2145374","Detached","West Hillhurst","11/15/2024","$1,649,000.00","$1,598,300.00","3,250","Calgary","2011","140","Zia Tajik","CTAJIKAH","","Robbie Stevenson","CSTEVERO1","","CAL Zone CC"
"1","S","16 Patterson Mews SW","A2162300","Detached","Patterson","11/15/2024","$1,699,000.00","$1,579,000.00","3,094","Calgary","1983","72","Sam Olschewski","COLSCHSA","","Nitesh Sharma","CSHARMNI2","","CAL Zone W"
"1","S","17 Mahogany Circle SE Unit#101","A2174649","Apartment","Mahogany","11/12/2024","$1,599,900.00","$1,575,000.00","1,260","Calgary","2018","19","Michael Laprairie","CLAPRAMI","CSTEWAAL1","Karen Keveryga","CKEVERKA","","CAL Zone SE"
"1","S","49 Westmore Park SW","A2166752","Detached","West Springs","11/18/2024","$1,599,000.00","$1,550,000.00","3,130","Calgary","2020","53","Jacquelyn Krasnikoff","CKRASNJA","CMCCALBR","Wei Chen","CCHENWE","","CAL Zone W"
"1","S","8 West Grove Bay SW","A2176005","Detached","West Springs","11/04/2024","$1,398,000.00","$1,520,000.00","3,042","Calgary","2013","5","Jeff Ackerman","CACKERJE","","Yang Liu","CLIUYA2","","CAL Zone W"
"1","S","3615 Umber Place NW","A2140124","Detached","University Heights","11/21/2024","$1,624,900.00","$1,500,000.00","2,082","Calgary","1967","161","Doug Cabral","CCABRADO","","Heather Lamb","CLAMBHE","","CAL Zone NW"
"1","S","209 Spring Willow Street SW","A2174791","Detached","Springbank Hill","11/01/2024","$1,499,000.00","$1,485,000.00","2,788","Calgary","2020","7","David Johnston","CJOHNSDA3","","Doug Cabral","CCABRADO","","CAL Zone W"
"1","S","428 Wilverside Way SE","A2160621","Detached","Willow Park","11/07/2024","$1,500,000.00","$1,485,000.00","2,164","Calgary","1968","71","Mike Hickey","CHICKEMI","","Mike Hickey","CHICKEMI","","CAL Zone S"
"1","S","1907 Broadview Road NW","A2163145","Detached","West Hillhurst","11/05/2024","$1,499,000.00","$1,460,000.00","2,630","Calgary","2023","60","Teri-Ann Begin","CBEGINTE","CBEGINST","Jo-Ann Jaunin","CJAUNIJO","","CAL Zone CC"
"1","S","215 2 Avenue NE","A2176714","Detached","Crescent Heights","11/28/2024","$1,499,000.00","$1,425,000.00","2,238","Calgary","1920","28","Joel Semmens","CSEMMEJO","","Teresa Stokke","CSTOKKTE","","CAL Zone CC"
"1","S","2142 28 Avenue SW","A2166410","Semi Detached (Half Duplex)","Richmond","11/14/2024","$1,425,000.00","$1,425,000.00","2,812","Calgary","2013","56","Dana Wilkie","CWILKIDA1","","Lindsay Lerner","CLERNELI","","CAL Zone CC"
"1","S","214 Slopeview Drive SW","A2173960","Detached","Springbank Hill","11/04/2024","$1,400,000.00","$1,410,000.00","2,837","Calgary","2001","17","Michael Zarowny","CZAROWMI","","Ray Yang","CYANGRU","CHAVREJU","CAL Zone W"
"1","S","528 19 Avenue SW","A2167479","Detached","Cliff Bungalow","11/16/2024","$1,499,900.00","$1,400,000.00","1,918","Calgary","2024","57","Mike Dreger","CDREGEMI","CHEINBDO","Mark Lukwinski","CLUKWIMA","","CAL Zone CC"
"1","S","315 Simcrest Heights SW","A2176127","Detached","Signal Hill","11/14/2024","$1,298,000.00","$1,387,307.00","2,656","Calgary","2002","7","Mark Evernden","CEVERNMA","","Simon Cheung","CCHEUNSI","","CAL Zone W"
"1","S","190 Marina Cove SE Unit#101","A2104937","Apartment","Mahogany","11/02/2024","$1,384,900.00","$1,384,900.00","1,612","Calgary","2023","274","Michael Laprairie","CLAPRAMI","CSTEWAAL1","Eric Boyd","CBOYDER","","CAL Zone SE"
"1","S","2031 Bowness Road NW","A2167842","Detached","West Hillhurst","11/14/2024","$1,449,900.00","$1,382,500.00","2,373","Calgary","2004","49","Trevor Ramage","CRAMAGTR","","Jeff Nichol","CNICHOJE","","CAL Zone CC"
"1","S","338 Superior Avenue SW","A2173352","Detached","Scarboro","11/01/2024","$1,349,900.00","$1,380,000.00","2,470","Calgary","1975","9","Erin Ferguson","CFERGUER","","Jeannie Brennan-Minchin","CBRENNRE","","CAL Zone CC"
"1","S","3115 Kildare Crescent SW","A2167540","Semi Detached (Half Duplex)","Killarney/Glengarry","11/18/2024","$1,399,900.00","$1,380,000.00","1,958","Calgary","2024","0","Kaeli Stuart","CSTUARKA","CRYANAL","Alex Titov","CTITOVAL","","CAL Zone CC"
"1","S","40 Patterson Rise SW","A2167103","Detached","Patterson","11/01/2024","$1,449,000.00","$1,380,000.00","3,896","Calgary","1990","41","Cam Naghshineh","CNAGHSCA","","David Lem","CLEMDA","","CAL Zone W"
"1","S","4908 15 Street SW","A2177162","Detached","Altadore","11/12/2024","$1,100,000.00","$1,375,000.00","1,396","Calgary","1956","6","Mark John","CJOHNMA","","Jordan Lotoski","CLOTOSJO","","CAL Zone CC"
"1","S","4904 15 Street SW","A2177161","Detached","Altadore","11/12/2024","$1,100,000.00","$1,375,000.00","1,220","Calgary","1956","6","Mark John","CJOHNMA","","Jordan Lotoski","CLOTOSJO","","CAL Zone CC"
"1","S","34 Auburn Shores Cape SE","A2177939","Detached","Auburn Bay","11/20/2024","$1,400,000.00","$1,370,000.00","2,650","Calgary","2019","6","Justin Havre","CHAVREJU","CDIETZCH","Ryan Hicke","CHICKERY","","CAL Zone SE"
"1","S","437 Evergreen Circle SW","A2178598","Detached","Evergreen","11/22/2024","$1,350,000.00","$1,350,000.00","3,152","Calgary","2011","10","Kevin Haller","CHALLEKE","","Monday Otoikhine","COTOIKIN","","CAL Zone S"
"1","S","48 Amiens Crescent SW","A2178231","Detached","Garrison Woods","11/22/2024","$1,399,990.00","$1,350,000.00","2,361","Calgary","2006","14","Donna Rooney","CROONEDO","CCRONIGA2","Gary Cronin","CCRONIGA2","","CAL Zone CC"
"1","S","79 West Grove Rise SW","A2177745","Detached","West Springs","11/25/2024","$1,395,000.00","$1,350,000.00","3,023","Calgary","2013","17","Sam Corea","CCOREASA","","Shannon Sperle","CSPERLLE","","CAL Zone W"
"1","S","2218 22 Avenue SW","A2175302","Semi Detached (Half Duplex)","Richmond","11/22/2024","$1,399,900.00","$1,350,000.00","2,419","Calgary","2024","23","Jay Brar","CBRARJO1","","Mackenzie Robertson","CROBERMA1","","CAL Zone CC"
"1","S","710 Royal Avenue SW","A2154770","Row/Townhouse","Lower Mount Royal","11/08/2024","$1,340,000.00","$1,339,333.33","2,766","Calgary","1989","57","Karen Fawcett","CFAWCEKA","","Les Kiss","CKISSLE","","CAL Zone CC"
