"#","St","Address","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","5120 80 Avenue NE","A2168719","Detached","Saddle Ridge","10/03/2024","$6,200,000.00","$6,600,000.00","1,182","Calgary","1970","7","Darshan Sidhu","CSIDHUDA","CSIDHUGU","Non Board Member","CNONMEMB","","CAL Zone NE"
"1","S","6914 Livingstone Drive SW","A2152717","Detached","Lakeview","10/30/2024","$4,350,000.00","$4,325,000.00","3,796","Calgary","2024","93","Daniel Weiner","CWEINEDA","","Mark Evernden","CEVERNMA","","CAL Zone W"
"1","S","3343 Varna Crescent NW","A2169079","Detached","Varsity","10/08/2024","$3,650,000.00","$3,460,000.00","3,399","Calgary","2023","11","Derek Woelfle","CWOELFDE","","Richard Chau","CCHAUVA","","CAL Zone NW"
"1","S","5335 84 Street NE","A2101729","Detached","NONE","10/26/2024","$4,945,000.00","$3,450,000.00","1,500","Calgary","1994","285","Gagan Jagdey","CJAGDEGA","CBANIPSU","Gagan Jagdey","CJAGDEGA","CBANIPSU",""
"1","S","1944 47th Avenue SW","A2169586","Detached","Altadore","10/21/2024","$3,195,000.00","$3,060,000.00","3,462","Calgary","2019","18","Matt Williams","CWILLIMA3","","Tanya Eklund","CEKLUNTA","","CAL Zone CC"
"1","S","12808 Canso Crescent SW","A2152528","Detached","Canyon Meadows","10/07/2024","$2,799,000.00","$2,700,000.00","3,436","Calgary","2024","74","Tomasz Samborski","CSAMBOTO","","Shaun Sweetnam","CSWEETSH","CPOPOWJO","CAL Zone S"
"1","S","4180 Kovitz Avenue NW Unit#603","A2167043","Apartment","University District","10/03/2024","$2,682,750.00","$2,682,750.00","2,368","Calgary","2024","15","Michael Laprairie","CLAPRAMI","CSTEWAAL1","Non Board Member","CNONMEMB","","CAL Zone NW"
"1","S","278 Mahogany Manor SE","A2127013","Detached","Mahogany","10/16/2024","$2,750,000.00","$2,600,000.00","4,352","Calgary","2013","168","Todd Steeves","CSTEEVTO","CLEGAUJO","Kevin Hatch","CHATCHKE","","CAL Zone SE"
"1","S","59 Bel-Aire Place SW","A2079171","Detached","Bel-Aire","10/09/2024","$3,100,000.00","$2,550,000.00","4,420","Calgary","1980","397","Bryon Howard","CHOWARBR","","Gary Cronin","CCRONIGA2","","CAL Zone CC"
"1","S","305 33 Avenue SW","A2166767","Detached","Parkhill","10/02/2024","$2,500,000.00","$2,500,000.00","1,861","Calgary","1998","14","Anne Clarke-Davidson","CCLARKAN2","","Ben Knopp","CKNOPPBE","","CAL Zone CC"
"1","S","2728 6 Avenue NW","A2165084","Detached","West Hillhurst","10/21/2024","$2,599,000.00","$2,500,000.00","3,384","Calgary","2024","39","Robin Clegg","CCLEGGRO","CSEMMEJO","Tao Jiang","CJIANGTA","","CAL Zone CC"
"1","S","1130 23 Avenue NW","A2163008","Detached","Capitol Hill","10/20/2024","$2,850,000.00","$2,500,000.00","3,003","Calgary","1993","45","Tyler Huggins","CHUGGICH","","Jake McIntyre","CMCINTJA1","","CAL Zone CC"
"1","S","525 30 Avenue SW","A2172097","Detached","Rideau Park","10/18/2024","$2,500,000.00","$2,495,000.00","2,993","Calgary","1981","8","Donna Rooney","CROONEDO","CCRONIGA2","Josie Kirkpatrick","CKIRKPJO","","CAL Zone CC"
"1","S","210 39 Avenue SW","A2173305","Detached","Elbow Park","10/18/2024","$2,399,900.00","$2,450,000.00","3,086","Calgary","2018","2","Tanya Eklund","CEKLUNTA","","Alisha Whitehead","CWHITEAL2","","CAL Zone CC"
"1","S","371 Chapala Point SE","A2164812","Detached","Chaparral","10/02/2024","$2,495,000.00","$2,440,000.00","4,024","Calgary","2007","13","Benjamin Sweet","CSWEETBE","CBECKEJU","Erica Broad","CBROADER","","CAL Zone S"
"1","S","542 23 Avenue NW","A2176073","Detached","Mount Pleasant","10/31/2024","$2,400,000.00","$2,400,000.00","1,010","Calgary","1979","1","Michael Baboushkin","CBABOUMI","CDEJONAP","Sumit Sandhu","CSANDHSU4","CSANDHHA7","CAL Zone CC"
"1","S","6918 Lefroy Court SW","A2170573","Detached","Lakeview","10/10/2024","$2,199,900.00","$2,300,000.00","2,402","Calgary","1966","1","Daniel Weiner","CWEINEDA","","Gordyn Matheson","CMATHEGO1","","CAL Zone W"
"1","S","227 Aspen Ridge Place SW","A2164486","Detached","Aspen Woods","10/19/2024","$2,499,000.00","$2,287,500.00","4,058","Calgary","2008","18","Ross Pavl","CPAVLYRO","","Sarah Walczak","CWALCZSA","","CAL Zone W"
"1","S","119 Aspen Summit Bay SW","A2171611","Detached","Aspen Woods","10/30/2024","$2,249,900.00","$2,200,000.00","3,385","Calgary","2022","21","Christopher Ashby","CASHBYCH","","Afaf Jomaa","CJOMAAAF","","CAL Zone W"
"1","S","3336 Lakeside Crescent SW","A2173558","Detached","Lakeview","10/29/2024","$2,199,000.00","$2,175,000.00","2,938","Calgary","2024","13","Abraham Ayache","CAYACHAB","","Chelsey Phillips","CPHILLCH","","CAL Zone W"
"1","S","2330 Fish Creek Boulevard SW Unit#1442","A2106189","Apartment","Evergreen","10/07/2024","$2,750,000.00","$2,148,000.00","2,659","Calgary","2009","227","RYAN WERRE","MHWERRERY","MHATKINCO","Scott Henry","CHENRYSC","","CAL Zone S"
"1","S","256 Aspen Summit Heath SW","A2161234","Detached","Aspen Woods","10/20/2024","$2,299,999.00","$2,123,000.00","4,355","Calgary","2013","44","Jasdev Dhillon","CDHILLJA2","CSIDHUSI","Arvind Sharma","CSHARMAR","","CAL Zone W"
"1","S","23 Mahogany Circle SE Unit#202","A2156898","Apartment","Mahogany","10/17/2024","$2,149,900.00","$2,075,000.00","1,880","Calgary","2019","28","Michael Niemans","CNIEMAMI","","Maria Shettler","CSHETTMA","","CAL Zone SE"
"1","S","370 Capri Crescent NW","A2172149","Detached","Charleswood","10/25/2024","$2,150,000.00","$2,050,000.00","2,370","Calgary","2021","13","Adam Mysliwy","CMYSLIAD","","Trevor Ramage","CRAMAGTR","","CAL Zone NW"
"1","S","1159 Lake Placid Drive SE","A2174867","Detached","Lake Bonavista","10/30/2024","$1,950,000.00","$1,990,000.00","3,160","Calgary","1978","7","Jamie Newton","CNEWTOJA","","YM Kwon","CKWONYO","","CAL Zone S"
"1","S","11 Aspen Ridge Lane SW","A2170297","Detached","Aspen Woods","10/14/2024","$1,990,000.00","$1,970,000.00","3,463","Calgary","2000","11","Lisa Johnson","CJOHNSLI1","","Tyler Blaney","CBLANETY","","CAL Zone W"
"1","S","80 Coulee Way SW","A2170642","Detached","Cougar Ridge","10/18/2024","$1,999,000.00","$1,900,000.00","4,437","Calgary","2014","15","Amy Du","CDUYA","","Vineet Tulsiani","CTULSIVI","","CAL Zone W"
"1","S","248 Normandy Drive SW","A2174030","Semi Detached (Half Duplex)","Currie Barracks","10/22/2024","$1,799,900.00","$1,899,581.75","1,764","Calgary","2025","0","Joel Semmens","CSEMMEJO","","J.P. Davis","CDAVISJO1","","CAL Zone W"
"1","S","4727 Coronation Drive SW","A2173566","Detached","Britannia","10/19/2024","$1,700,000.00","$1,860,000.00","1,930","Calgary","1955","2","Grant Hunter","CHUNTEGR","CKEYLORA","Gary Cronin","CCRONIGA2","CROONEDO","CAL Zone CC"
"1","S","528 49 Avenue SW","A2161636","Detached","Elboya","10/18/2024","$1,970,000.00","$1,850,000.00","3,367","Calgary","2008","28","Livia McCabe","CMCCABLI","","Gordyn Matheson","CMATHEGO1","","CAL Zone CC"
"1","S","5003 Vanstone Crescent NW","A2169737","Detached","Varsity","10/12/2024","$1,849,000.00","$1,849,000.00","2,490","Calgary","1967","9","Derek Woelfle","CWOELFDE","","Meredith Miller","CMILLEME1","","CAL Zone NW"
"1","S","343 Spring Creek Circle SW","A2163948","Detached","Springbank Hill","10/12/2024","$1,880,000.00","$1,845,000.00","3,114","Calgary","2024","34","Parker Xiong","CXIONGDO","CWANXI","David Pellettier","CPELLEDA","","CAL Zone W"
"1","S","210 Fortress Bay SW","A2137777","Detached","Springbank Hill","10/11/2024","$1,950,000.00","$1,842,500.00","3,619","Calgary","2011","129","Sam Corea","CCOREASA","","Barbara Daroux","CDAROUBA","","CAL Zone W"
"1","S","827 3 Avenue NW","A2172561","Detached","Sunnyside","10/24/2024","$1,895,000.00","$1,825,000.00","2,708","Calgary","2018","13","Joel Semmens","CSEMMEJO","","Beth MacInnis","CMACINBE","","CAL Zone CC"
"1","S","2222 12 Street SW","A2135604","Detached","Upper Mount Royal","10/31/2024","$1,988,888.00","$1,825,000.00","2,251","Calgary","1932","155","Nancy Calvin","CCALVINA","CHRIPKAL","Jean-Sebastien Morency","CMORENJE","","CAL Zone CC"
"1","S","310 Normandy Drive SW","A2173976","Semi Detached (Half Duplex)","Currie Barracks","10/21/2024","$1,699,900.00","$1,808,097.38","1,764","Calgary","2025","0","Joel Semmens","CSEMMEJO","","Joel Semmens","CSEMMEJO","","CAL Zone W"
"1","S","813 Suncastle Road SE","A2174943","Detached","Sundance","10/24/2024","$1,749,900.00","$1,805,000.00","2,674","Calgary","1985","0","Jay Winch","CWINCHJA","","Brady Layton","CLAYTOBR","","CAL Zone S"
"1","S","2231 Mahogany Boulevard SE Unit#501","A2172945","Apartment","Mahogany","10/22/2024","$1,998,900.00","$1,800,000.00","2,017","Calgary","2018","5","Michael Laprairie","CLAPRAMI","CSTEWAAL1","Sharon Murphy","CMURPHSH","","CAL Zone SE"
"1","S","39 Anatapi Lane SW","A2168098","Detached","Springbank Hill","10/04/2024","$1,950,000.00","$1,800,000.00","2,790","Calgary","1979","10","David Pellettier","CPELLEDA","","Jun Hu","CHUJU","","CAL Zone W"
"1","S","1922 46 Avenue SW","A2168797","Detached","Altadore","10/31/2024","$1,799,900.00","$1,735,000.00","2,472","Calgary","2016","33","Ashlee Samaska","CSAMASAS","CANDRELA","Mathew Said Morley","CMORLEMA","","CAL Zone CC"
"1","S","22 Timberline Place SW","A2157494","Detached","Springbank Hill","10/23/2024","$1,768,000.00","$1,735,000.00","3,109","Calgary","2014","41","Ross Pavl","CPAVLYRO","","Rachelle Starnes","CSTARNRA","","CAL Zone W"
"1","S","2011 Glenmount Drive SW","A2168782","Detached","Glendale","10/29/2024","$1,799,000.00","$1,725,000.00","2,537","Calgary","2015","19","Rob Smith","CSMITHRO8","","Lily Chow","CCHOWLI","","CAL Zone W"
"1","S","1521 8 Avenue SE","A2160589","Detached","Inglewood","10/16/2024","$1,699,900.00","$1,708,495.00","2,552","Calgary","2024","49","Lisa Johnson","CJOHNSLI1","","Jordan Helwerda","CHELWEJO","CBATTECO","CAL Zone CC"
"1","S","280 Masters Cove SE","A2152736","Detached","Mahogany","10/30/2024","$1,699,999.00","$1,690,000.00","3,074","Calgary","2018","91","Brandee Innes","CINNESBR","","Chalsey Bugeaud","CBUGEACH","","CAL Zone SE"
"1","S","3817 9 Street SW","A2170470","Detached","Elbow Park","10/10/2024","$1,750,000.00","$1,685,000.00","2,360","Calgary","1952","7","James Murphy","CMURPHJA1","","Allen Jovica","CJOVICAL","","CAL Zone CC"
"1","S","1722 47 Avenue SW","A2169055","Detached","Altadore","10/22/2024","$1,749,900.00","$1,685,000.00","2,527","Calgary","2015","25","Michael Ferianec","CFERIAMI","","Trung Bien","CBIENTR1","CHALPEAL","CAL Zone CC"
"1","S","6438 Bow Crescent NW","A2162616","Detached","Bowness","10/30/2024","$1,799,999.00","$1,675,000.00","2,557","Calgary","1969","34","Mike Dreger","CDREGEMI","CHEINBDO","Gurpreet Ghuttora","CGHUTTGU","","CAL Zone NW"
"1","S","8 Granville Crescent SW","A2169898","Detached","Glendale","10/11/2024","$1,668,000.00","$1,668,000.00","2,531","Calgary","2022","8","Wenzhen Chen","CCHENWE1","","Rebecca Yarmoloy","CMORGARE","","CAL Zone W"
"1","S","2836 12 Avenue NW","A2164276","Detached","St Andrews Heights","10/16/2024","$1,699,900.00","$1,660,000.00","1,700","Calgary","1954","34","Valerie Laferriere","CLAFERVA","","Valerie Laferriere","CLAFERVA","","CAL Zone CC"
"1","S","16 Johnson Place SW","A2167473","Detached","Garrison Green","10/08/2024","$1,649,000.00","$1,615,000.00","2,617","Calgary","2006","18","Len T. Wong","CWONGLE3","","Sandy Seifert","CSEIFESA","","CAL Zone W"
