"#","St","Address","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","3811 9 Street SW","A2153832","Detached","Elbow Park","09/30/2024","$5,375,000.00","$5,000,000.00","4,613","Calgary","2010","55","John McNeill","CMCNEIJO","","John McNeill","CMCNEIJO","","CAL Zone CC"
"1","S","12235 Lake Louise Way SE","A2143138","Detached","Lake Bonavista","09/10/2024","$4,500,000.00","$4,135,000.00","6,022","Calgary","2008","69","Rachelle Starnes","CSTARNRA","CTAGGANI","Joel Semmens","CSEMMEJO","","CAL Zone S"
"1","S","2605 Erlton Street SW","A2112043","Detached","Erlton","09/30/2024","$3,690,000.00","$3,555,000.00","3,881","Calgary","2009","206","Ted Crawford","CCRAWFTE","","Geoffrey Price","CPRICEGE","","CAL Zone CC"
"1","S","1620 Acton Avenue SW","A2162550","Detached","Altadore","09/06/2024","$3,297,000.00","$3,225,000.00","3,139","Calgary","2023","2","Ana Lovric-Koscianski","CLOVRIAN","CSAMBOTO","Gordyn Matheson","CMATHEGO1","","CAL Zone CC"
"1","S","1211 Lansdowne Avenue SW","A2167265","Detached","Elbow Park","09/22/2024","$3,000,000.00","$3,100,000.00","2,673","Calgary","2019","2","Donna Rooney","CROONEDO","CCRONIGA2","Gary Cronin","CCRONIGA2","","CAL Zone CC"
"1","S","1420 21 Street NW","A2159900","Detached","Hounsfield Heights/Briar Hill","09/08/2024","$3,200,000.00","$3,100,000.00","3,250","Calgary","2008","11","Beth MacInnis","CMACINBE","","Stella Tsang","CTSANGST","","CAL Zone CC"
"1","S","3839 8 Street SW","A2134327","Detached","Elbow Park","09/09/2024","$3,150,000.00","$3,100,000.00","3,634","Calgary","2024","104","Michael Wood","CWOODMI","","Tannis Biddell","CBIDDETA","","CAL Zone CC"
"1","S","132 Fortress Bay SW","A2160119","Detached","Springbank Hill","09/27/2024","$3,100,000.00","$2,980,000.00","5,347","Calgary","2017","35","Rachelle Starnes","CSTARNRA","CDEXTEKY","Daniel Beddome","CBEDDODA","","CAL Zone W"
"1","S","3 Aspen Ridge Court SW","A2152128","Detached","Aspen Woods","09/20/2024","$2,998,000.00","$2,885,000.00","3,971","Calgary","2003","56","Anne Clarke-Davidson","CCLARKAN2","","Tanya Eklund","CEKLUNTA","","CAL Zone W"
"1","S","80 Willow Park Green SE","A2159386","Detached","Willow Park","09/23/2024","$2,875,000.00","$2,800,000.00","4,685","Calgary","2005","17","Sandy Bisson","CBISSOSA","","Non Board Member","CNONMEMB","","CAL Zone S"
