"#","St","Address","MLS® #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","2906 Marquette Street SW","A2259299","Detached","Upper Mount Royal","12/01/2025","$4,000,000.00","$3,675,000.00","5,289","Calgary","2009","63","Justin Havre","CHAVREJU","CNICKEHE","Mathew Said Morley","CMORLEMA","","CAL Zone CC"
"1","S","1111 16A Street NW","A2232565","Detached","Hounsfield Heights/Briar Hill","12/09/2025","$3,999,900.00","$3,610,000.00","3,905","Calgary","1992","165","Diana Secrieru","CSECRIDI","CRUDOLAL","Chris Adam","CADAMCH","","CAL Zone CC"
"1","S","2409 Carleton Street SW","A2258573","Detached","Upper Mount Royal","12/16/2025","$3,250,000.00","$3,060,000.00","3,674","Calgary","1934","87","Donna Rooney","CROONEDO","CCRONIGA2","Liam Cronin","CCRONILI","CCRONIBR","CAL Zone CC"
"1","S","616 Wilderness Drive SE","A2271294","Detached","Willow Park","12/05/2025","$2,800,000.00","$2,800,000.00","3,632","Calgary","1969","0","Ben Battistessa","CBATTIBE","","Bryan Herman","CHERMABR1","","CAL Zone S"
"1","S","2012 57 Avenue SW","A2266046","Detached","North Glenmore Park","12/22/2025","$2,799,900.00","$2,700,000.00","3,615","Calgary","2025","62","Tony Irshad","CIRSHAAB","","Jordan Lotoski","CLOTOSJO","","CAL Zone W"
"1","S","1739 49 Avenue SW","A2268781","Detached","Altadore","12/22/2025","$2,650,000.00","$2,525,000.00","3,461","Calgary","2014","45","Michael Ferianec","CFERIAMI","","Deborah Clark","CCLARKDE","","CAL Zone CC"
"1","S","540 Lake Moraine Green SE","A2269328","Detached","Lake Bonavista","12/01/2025","$2,795,000.00","$2,400,000.00","2,562","Calgary","1972","20","Katherine Bennett","CBENNEKA","","Karen Fawcett","CFAWCEKA","","CAL Zone S"
"1","S","4712 Elbow Drive SW","A2271723","Detached","Elboya","12/14/2025","$2,650,000.00","$2,350,000.00","4,182","Calgary","2012","23","Mathew Said Morley","CMORLEMA","","Karen Luu","CLUUKA","","CAL Zone CC"
"1","S","1415 24 Street SW","A2252345","Detached","Shaganappi","12/09/2025","$2,395,000.00","$2,350,000.00","3,521","Calgary","2024","102","Sandy Seifert","CSEIFESA","","Zee Zebian","CZEBIANA","","CAL Zone CC"
"1","S","1661 St Andrews Place NW","A2261499","Detached","St Andrews Heights","12/06/2025","$2,850,000.00","$2,300,000.00","2,278","Calgary","1958","64","Bo Yang","CYANGBO","","Karen Fawcett","CFAWCEKA","","CAL Zone CC"
"1","S","43 Elveden Park SW","A2272908","Detached","Springbank Hill","12/11/2025","$2,175,000.00","$2,175,000.00","3,301","Calgary","2025","14","Allen Jovica","CJOVICAL","","Kristine Hart","CHARTKR","","CAL Zone W"
"1","S","600 Princeton Way SW Unit#305","A2210464","Apartment","Eau Claire","12/15/2025","$2,295,000.00","$2,175,000.00","2,882","Calgary","2007","249","Jason Hunter","CHUNTEJA1","","Foster Wozniak","CWOZNIFO","","CAL Zone CC"
"1","S","33 Discovery Rise SW","A2272910","Detached","Discovery Ridge","12/18/2025","$1,999,999.00","$1,975,000.00","3,004","Calgary","2000","15","Kyle Dexter","CDEXTEKY","CPOPOWOL","Kyle Dexter","CDEXTEKY","","CAL Zone W"
